"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","24","Kent Bazemore","SF","6-5","201","July 1, 1989","us","3","Old Dominion University"
"2","10","Tim Hardaway","SG","6-6","205","March 16, 1992","us","2","University of Michigan"
"3","12","Kirk Hinrich","PG","6-4","190","January 2, 1981","us","12","University of Kansas"
"4","7","Justin Holiday","SG","6-6","185","April 5, 1989","us","2","University of Washington"
"5","15","Al Horford","C","6-10","245","June 3, 1986","do","8","University of Florida"
"6","43","Kris Humphries","PF","6-9","235","February 6, 1985","us","11","University of Minnesota"
"7","26","Kyle Korver","SG","6-7","212","March 17, 1981","us","12","Creighton University"
"8","8","Shelvin Mack","PG","6-3","203","April 22, 1990","us","4","Butler University"
"9","4","Paul Millsap","PF","6-8","246","February 10, 1985","us","9","Louisiana Tech University"
"10","31","Mike Muscala","C","6-11","240","July 1, 1991","us","2","Bucknell University"
"11","13","Lamar Patterson","SG","6-5","225","August 12, 1991","us","R","University of Pittsburgh"
"12","17","Dennis Schroder","PG","6-1","172","September 15, 1993","de","2",""
"13","32","Mike Scott","PF","6-8","237","July 16, 1988","us","3","University of Virginia"
"14","25","Thabo Sefolosha","SF","6-7","220","May 2, 1984","ch","9",""
"15","11","Tiago Splitter","C","6-11","245","January 1, 1985","br","5",""
"16","22","Walter Tavares","C","7-3","260","March 22, 1992","cv","R",""
"17","0","Jeff Teague","PG","6-2","186","June 10, 1988","us","6","Wake Forest University"
