"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","9","Andrea Bargnani","C","7-0","245","October 26, 1985","it","9",""
"2","44","Bojan Bogdanovic","SF","6-8","216","April 18, 1989","ba","1",""
"3","22","Markel Brown","SG","6-3","190","January 29, 1992","us","1","Oklahoma State University"
"4","21","Wayne Ellington","SG","6-4","200","October 29, 1987","us","6","University of North Carolina"
"5","24","Rondae Hollis-Jefferson","SF","6-7","220","January 3, 1995","us","R","University of Arizona"
"6","2","Jarrett Jack","PG","6-3","200","October 28, 1983","us","10","Georgia Institute of Technology"
"7","7","Joe Johnson","SF","6-7","240","June 29, 1981","us","14","University of Arkansas"
"8","10","Sergey Karasev","SF","6-7","208","October 26, 1993","ru","2",""
"9","6","Sean Kilpatrick","SG","6-4","210","January 6, 1990","us","1","University of Cincinnati"
"10","0","Shane Larkin","PG","5-11","175","October 2, 1992","us","2","University of Miami"
"11","11","Brook Lopez","C","7-0","275","April 1, 1988","us","7","Stanford University"
"12","1","Chris McCullough","PF","6-11","200","February 5, 1995","us","R","Syracuse University"
"13","33","Willie Reed","PF","6-10","220","May 16, 1990","us","R","Saint Louis University"
"14","41","Thomas Robinson","PF","6-10","237","March 17, 1991","us","3","University of Kansas"
"15","14","Henry Sims","C","6-10","248","March 27, 1990","us","3","Georgetown University"
"16","15","Donald Sloan","PG","6-3","205","January 15, 1988","us","4","Texas A&M University"
"17","30","Thaddeus Young","PF","6-8","221","June 21, 1988","us","8","Georgia Institute of Technology"
