"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","5","Nicolas Batum","SF","6-8","200","December 14, 1988","fr","7",""
"2","30","Troy Daniels","SG","6-4","205","July 15, 1991","us","2","Virginia Commonwealth University"
"3","12","Jorge Gutierrez","PG","6-3","191","December 27, 1988","mx","2","University of California"
"4","19","P.J. Hairston","SF","6-6","230","December 24, 1992","us","1","University of North Carolina"
"5","50","Tyler Hansbrough","PF","6-9","250","November 3, 1985","us","6","University of North Carolina"
"6","9","Aaron Harrison","SG","6-6","210","October 28, 1994","us","R","University of Kentucky"
"7","00","Spencer Hawes","PF","7-1","245","April 28, 1988","us","8","University of Washington"
"8","25","Al Jefferson","C","6-10","289","January 4, 1985","us","11",""
"9","44","Frank Kaminsky","C","7-0","242","April 4, 1993","us","R","University of Wisconsin"
"10","14","Michael Kidd-Gilchrist","SF","6-7","232","September 26, 1993","us","3","University of Kentucky"
"11","3","Jeremy Lamb","SG","6-5","185","May 30, 1992","us","3","University of Connecticut"
"12","1","Courtney Lee","SG","6-5","200","October 3, 1985","us","7","Western Kentucky University"
"13","7","Jeremy Lin","SG","6-3","200","August 23, 1988","us","5","Harvard University"
"14","22","Brian Roberts","PG","6-1","173","December 3, 1985","us","3","University of Dayton"
"15","15","Kemba Walker","PG","6-1","172","May 8, 1990","us","4","University of Connecticut"
"16","2","Marvin Williams","PF","6-9","237","June 19, 1986","us","10","University of North Carolina"
"17","40","Cody Zeller","C","7-0","240","October 5, 1992","us","2","Indiana University"
