"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","9","Jared Cunningham","SG","6-4","195","May 22, 1991","us","3","Oregon State University"
"2","8","Matthew Dellavedova","PG","6-4","198","September 8, 1990","au","2","Saint Mary's College of California"
"3","9","Channing Frye","C","6-11","255","May 17, 1983","us","9","University of Arizona"
"4","12","Joe Harris","SG","6-6","219","September 7, 1991","us","1","University of Virginia"
"5","2","Kyrie Irving","PG","6-3","193","March 23, 1992","au","4","Duke University"
"6","23","LeBron James","SF","6-8","250","December 30, 1984","us","12",""
"7","24","Richard Jefferson","SF","6-7","233","June 21, 1980","us","14","University of Arizona"
"8","30","Dahntay Jones","SF","6-6","225","December 27, 1980","us","11","Duke University"
"9","1","James Jones","SF","6-8","218","October 4, 1980","us","12","University of Miami"
"10","14","Sasha Kaun","C","6-11","260","May 8, 1985","ru","R","University of Kansas"
"11","0","Kevin Love","PF","6-10","251","September 7, 1988","us","7","University of California, Los Angeles"
"12","12","Jordan McRae","PG","6-6","185","March 28, 1991","us","R","University of Tennessee"
"13","20","Timofey Mozgov","C","7-1","275","July 16, 1986","ru","5",""
"14","4","Iman Shumpert","SG","6-5","220","June 26, 1990","us","4","Georgia Institute of Technology"
"15","5","J.R. Smith","SG","6-6","225","September 9, 1985","us","11",""
"16","13","Tristan Thompson","PF","6-9","238","March 13, 1991","ca","4","University of Texas at Austin"
"17","17","Anderson Varejao","C","6-10","273","September 28, 1982","br","11",""
"18","52","Mo Williams","PG","6-1","198","December 19, 1982","us","12","University of Alabama"
