"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","1","Justin Anderson","SF","6-6","228","November 19, 1993","us","R","University of Virginia"
"2","5","J.J. Barea","PG","6-0","185","June 26, 1984","pr","9","Northeastern University"
"3","21","Jeremy Evans","SF","6-9","200","October 24, 1987","us","5","Western Kentucky University"
"4","2","Raymond Felton","PG","6-1","205","June 26, 1984","us","10","University of North Carolina"
"5","34","Devin Harris","PG","6-3","192","February 27, 1983","us","11","University of Wisconsin"
"6","12","John Jenkins","SG","6-4","215","March 6, 1991","us","3","Vanderbilt University"
"7","42","David Lee","PF","6-9","245","April 29, 1983","us","10","University of Florida"
"8","23","Wesley Matthews","SG","6-5","220","October 14, 1986","us","6","Marquette University"
"9","11","JaVale McGee","C","7-0","270","January 19, 1988","us","7","University of Nevada, Reno"
"10","50","Salah Mejri","C","7-1","245","June 15, 1986","tn","R",""
"11","41","Dirk Nowitzki","PF","7-0","245","June 19, 1978","de","17",""
"12","27","Zaza Pachulia","C","6-11","270","February 10, 1984","ge","12",""
"13","25","Chandler Parsons","SF","6-10","230","October 25, 1988","us","4","University of Florida"
"14","7","Dwight Powell","PF","6-11","240","July 20, 1991","ca","1","Stanford University"
"15","3","Charlie Villanueva","PF","6-11","232","August 24, 1984","us","10","University of Connecticut"
"16","8","Deron Williams","PG","6-3","200","June 26, 1984","us","10","University of Illinois at Urbana-Champaign"
