"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","50","Joel Anthony","C","6-9","245","August 9, 1982","ca","8","University of Nevada, Las Vegas"
"2","12","Aron Baynes","C","6-10","260","December 9, 1986","nz","3","Washington State University"
"3","22","Steve Blake","PG","6-3","172","February 26, 1980","us","12","University of Maryland"
"4","25","Reggie Bullock","SF","6-7","205","March 16, 1991","us","2","University of North Carolina"
"5","5","Kentavious Caldwell-Pope","SG","6-5","205","February 18, 1993","us","2","University of Georgia"
"6","8","Spencer Dinwiddie","PG","6-6","200","April 6, 1993","us","1","University of Colorado"
"7","0","Andre Drummond","C","6-11","279","August 10, 1993","us","3","University of Connecticut"
"8","32","Justin Harper","PF","6-10","225","August 30, 1989","us","1","University of Richmond"
"9","34","Tobias Harris","PF","6-9","235","July 15, 1992","us","4","University of Tennessee"
"10","6","Darrun Hilliard","SG","6-6","205","April 13, 1993","us","R","Villanova University"
"11","23","Ersan Ilyasova","PF","6-10","235","May 15, 1987","tr","7",""
"12","1","Reggie Jackson","PG","6-3","208","April 16, 1990","it","4","Boston College"
"13","7","Brandon Jennings","PG","6-1","170","September 23, 1989","us","6",""
"14","3","Stanley Johnson","SF","6-7","245","May 29, 1996","us","R","University of Arizona"
"15","20","Jodie Meeks","SG","6-4","210","August 21, 1987","us","6","University of Kentucky"
"16","13","Marcus Morris","SF","6-9","235","September 2, 1989","us","4","University of Kansas"
"17","43","Anthony Tolliver","PF","6-8","240","June 1, 1985","us","7","Creighton University"
