"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","19","Leandro Barbosa","SG","6-3","194","November 28, 1982","br","12",""
"2","40","Harrison Barnes","SF","6-8","210","May 30, 1992","us","3","University of North Carolina"
"3","12","Andrew Bogut","C","7-0","260","November 28, 1984","au","10","University of Utah"
"4","21","Ian Clark","SG","6-3","175","March 7, 1991","us","2","Belmont University"
"5","30","Stephen Curry","PG","6-3","190","March 14, 1988","us","6","Davidson College"
"6","31","Festus Ezeli","C","6-11","255","October 21, 1989","ng","2","Vanderbilt University"
"7","23","Draymond Green","PF","6-7","230","March 4, 1990","us","3","Michigan State University"
"8","9","Andre Iguodala","SF","6-6","215","January 28, 1984","us","11","University of Arizona"
"9","34","Shaun Livingston","PG","6-7","192","September 11, 1985","us","10",""
"10","36","Kevon Looney","PF","6-9","220","February 6, 1996","us","R","University of California, Los Angeles"
"11","20","James Michael McAdoo","PF","6-9","230","January 4, 1993","us","1","University of North Carolina"
"12","4","Brandon Rush","SG","6-6","220","July 7, 1985","us","7","University of Kansas"
"13","5","Marreese Speights","C","6-10","255","August 4, 1987","us","7","University of Florida"
"14","1","Jason Thompson","C","6-11","250","July 21, 1986","us","7","Rider University"
"15","11","Klay Thompson","SG","6-7","215","February 8, 1990","us","4","Washington State University"
"16","18","Anderson Varejao","C","6-10","273","September 28, 1982","br","11",""
