"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","45","Cole Aldrich","C","6-11","250","October 31, 1988","us","5","University of Kansas"
"2","19","Jeff Ayres","C","6-9","240","April 29, 1987","us","5","Arizona State University"
"3","11","Jamal Crawford","SG","6-5","200","March 20, 1980","us","15","University of Michigan"
"4","22","Branden Dawson","PF","6-6","225","February 1, 1993","us","R","Michigan State University"
"5","8","Jeff Green","SF","6-9","235","August 28, 1986","us","7","Georgetown University"
"6","32","Blake Griffin","PF","6-10","251","March 16, 1989","us","5","University of Oklahoma"
"7","33","Wesley Johnson","SF","6-7","215","July 11, 1987","us","5","Syracuse University"
"8","6","DeAndre Jordan","C","6-11","265","July 21, 1988","us","7","Texas A&M University"
"9","12","Luc Mbah a Moute","PF","6-8","230","September 9, 1986","cm","7","University of California, Los Angeles"
"10","3","Chris Paul","PG","6-0","175","May 6, 1985","us","10","Wake Forest University"
"11","34","Paul Pierce","SF","6-7","235","October 13, 1977","us","17","University of Kansas"
"12","9","Pablo Prigioni","PG","6-3","185","May 17, 1977","ar","3",""
"13","4","J.J. Redick","SG","6-4","190","June 24, 1984","us","9","Duke University"
"14","25","Austin Rivers","SG","6-4","200","August 1, 1992","us","3","Duke University"
"15","5","Josh Smith","PF","6-9","225","December 5, 1985","us","11",""
"16","1","Lance Stephenson","SF","6-5","230","September 5, 1990","us","5","University of Cincinnati"
"17","35","Alex Stepheson","PF","6-10","270","August 7, 1987","us","R","University of Southern California"
"18","30","C.J. Wilcox","SG","6-5","195","December 30, 1990","us","1","University of Washington"
