"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","2","Brandon Bass","PF","6-8","250","April 30, 1985","us","10","Louisiana State University"
"2","28","Tarik Black","C","6-9","250","November 22, 1991","us","1","University of Kansas"
"3","3","Anthony Brown","SF","6-7","210","October 10, 1992","us","R","Stanford University"
"4","24","Kobe Bryant","SF","6-6","212","August 23, 1978","us","19",""
"5","6","Jordan Clarkson","SG","6-5","194","June 7, 1992","us","1","University of Missouri"
"6","17","Roy Hibbert","C","7-2","270","December 11, 1986","us","7","Georgetown University"
"7","9","Marcelo Huertas","PG","6-3","200","May 25, 1983","br","R",""
"8","4","Ryan Kelly","PF","6-11","230","April 9, 1991","us","2","Duke University"
"9","7","Larry Nance Jr.","PF","6-9","230","January 1, 1993","us","R","University of Wyoming"
"10","30","Julius Randle","PF","6-9","250","November 29, 1994","us","1","University of Kentucky"
"11","1","D'Angelo Russell","PG","6-5","195","February 23, 1996","us","R","Ohio State University"
"12","50","Robert Sacre","C","7-0","270","June 6, 1989","us","3","Gonzaga University"
"13","23","Lou Williams","SG","6-1","175","October 27, 1986","us","10",""
"14","37","Metta World Peace","SF","6-6","260","November 13, 1979","us","15","St. John's University"
"15","0","Nick Young","SG","6-7","210","June 1, 1985","us","8","University of Southern California"
