"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","3","Jordan Adams","SG","6-5","209","July 8, 1994","us","1","University of California, Los Angeles"
"2","9","Tony Allen","SG","6-4","213","January 11, 1982","us","11","Oklahoma State University"
"3","7","Chris Andersen","C","6-10","245","July 7, 1978","us","13","Blinn College"
"4","22","Matt Barnes","SF","6-7","226","March 9, 1980","us","12","University of California, Los Angeles"
"5","15","Vince Carter","SG","6-6","220","January 26, 1977","us","17","University of North Carolina"
"6","6","Mario Chalmers","PG","6-2","190","May 19, 1986","us","7","University of Kansas"
"7","11","Mike Conley","PG","6-1","175","October 11, 1987","us","8","Ohio State University"
"8","8","Bryce Cotton","PG","6-1","165","August 11, 1992","us","1","Providence College"
"9","8","James Ennis","SF","6-7","210","July 1, 1990","us","1","California State University, Long Beach"
"10","4","Jordan Farmar","PG","6-2","180","November 30, 1986","us","8","University of California, Los Angeles"
"11","33","Marc Gasol","C","7-1","255","January 29, 1985","es","7",""
"12","0","JaMychal Green","PF","6-9","227","June 21, 1990","us","1","University of Alabama"
"13","32","Jeff Green","SF","6-9","235","August 28, 1986","us","7","Georgetown University"
"14","19","P.J. Hairston","SF","6-6","230","December 24, 1992","us","1","University of North Carolina"
"15","20","Ryan Hollins","C","7-0","240","October 10, 1984","us","9","University of California, Los Angeles"
"16","5","Courtney Lee","SG","6-5","200","October 3, 1985","us","7","Western Kentucky University"
"17","10","Jarell Martin","PF","6-10","239","May 24, 1994","us","R","Louisiana State University"
"18","5","Ray McCallum","PG","6-3","190","June 12, 1991","us","2","University of Detroit Mercy"
"19","14","Xavier Munford","SG","6-2","180","June 1, 1992","us","R","University of Rhode Island"
"20","50","Zach Randolph","PF","6-9","260","July 16, 1981","us","14","Michigan State University"
"21","2","Russ Smith","PG","6-0","165","April 19, 1991","us","1","University of Louisville"
"22","1","Lance Stephenson","SF","6-5","230","September 5, 1990","us","5","University of Cincinnati"
"23","35","Alex Stepheson","PF","6-10","270","August 7, 1987","us","R","University of Southern California"
"24","1","Jarnell Stokes","C","6-9","263","January 7, 1994","us","1","University of Tennessee"
"25","19","Beno Udrih","PG","6-3","205","July 5, 1982","si","11",""
"26","2","Briante Weber","PG","6-2","165","December 29, 1992","us","R","Virginia Commonwealth University"
"27","25","Elliot Williams","PG","6-5","190","June 20, 1989","us","3","University of Memphis"
"28","34","Brandan Wright","PF","6-10","210","October 5, 1987","us","7","University of North Carolina"
