"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","11","Chris Andersen","C","6-10","245","July 7, 1978","us","13","Blinn College"
"2","1","Chris Bosh","PF","6-11","235","March 24, 1984","us","12","Georgia Institute of Technology"
"3","15","Mario Chalmers","PG","6-2","190","May 19, 1986","us","7","University of Kansas"
"4","9","Luol Deng","PF","6-9","220","April 16, 1985","ss","11","Duke University"
"5","7","Goran Dragic","PG","6-3","190","May 6, 1986","si","7",""
"6","32","James Ennis","SF","6-7","210","July 1, 1990","us","1","California State University, Long Beach"
"7","14","Gerald Green","SG","6-7","205","January 26, 1986","us","8",""
"8","40","Udonis Haslem","PF","6-8","235","June 9, 1980","us","12","University of Florida"
"9","2","Joe Johnson","SF","6-7","240","June 29, 1981","us","14","University of Arkansas"
"10","8","Tyler Johnson","SG","6-4","186","May 7, 1992","us","1","California State University, Fresno"
"11","4","Josh McRoberts","PF","6-10","240","February 28, 1987","us","8","Duke University"
"12","0","Josh Richardson","SG","6-6","200","September 15, 1993","us","R","University of Tennessee"
"13","12","Jarnell Stokes","C","6-9","263","January 7, 1994","us","1","University of Tennessee"
"14","5","Amar'e Stoudemire","C","6-10","245","November 16, 1982","us","13",""
"15","19","Beno Udrih","PG","6-3","205","July 5, 1982","si","11",""
"16","3","Dwyane Wade","SG","6-4","220","January 17, 1982","us","12","Marquette University"
"17","12","Briante Weber","PG","6-2","165","December 29, 1992","us","R","Virginia Commonwealth University"
"18","21","Hassan Whiteside","C","7-0","265","June 13, 1989","us","3","Marshall University"
"19","20","Justise Winslow","SF","6-7","225","March 26, 1996","us","R","Duke University"
