"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","42","Alexis Ajinca","C","7-2","248","May 6, 1988","fr","5",""
"2","33","Ryan Anderson","PF","6-10","240","May 6, 1988","us","7","University of California"
"3","3","Omer Asik","C","7-0","255","July 4, 1986","tr","5",""
"4","8","Luke Babbitt","SF","6-9","225","June 20, 1989","us","5","University of Nevada, Reno"
"5","30","Norris Cole","PG","6-2","175","October 13, 1988","us","4","Cleveland State University"
"6","44","Dante Cunningham","SF","6-8","230","April 22, 1987","us","6","Villanova University"
"7","23","Anthony Davis","PF","6-10","253","March 11, 1993","us","3","University of Kentucky"
"8","31","Bryce Dejean-Jones","SG","6-6","209","August 21, 1992","us","R","Iowa State University"
"9","16","Toney Douglas","PG","6-2","195","March 16, 1986","us","6","Florida State University"
"10","4","James Ennis","SF","6-7","210","July 1, 1990","us","1","California State University, Long Beach"
"11","1","Tyreke Evans","SG","6-6","220","September 19, 1989","us","6","University of Memphis"
"12","2","Tim Frazier","PG","6-1","170","November 1, 1990","us","1","Pennsylvania State University"
"13","32","Jimmer Fredette","SG","6-2","195","February 25, 1989","us","4","Brigham Young University"
"14","15","Alonzo Gee","SF","6-6","225","May 29, 1987","us","6","University of Alabama"
"15","10","Eric Gordon","SG","6-4","215","December 25, 1988","us","7","Indiana University"
"16","25","Jordan Hamilton","SF","6-7","220","October 6, 1990","us","4","University of Texas at Austin"
"17","11","Jrue Holiday","PG","6-4","205","June 12, 1990","us","6","University of California, Los Angeles"
"18","0","Orlando Johnson","SG","6-5","220","March 11, 1989","us","2","University of California, Santa Barbara"
"19","5","Kendrick Perkins","C","6-10","270","November 10, 1984","us","12",""
"20","2","Nate Robinson","PG","5-9","180","May 31, 1984","us","10","University of Washington"
"21","4","Ish Smith","PG","6-0","175","July 5, 1988","us","5","Wake Forest University"
