"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","4","Arron Afflalo","SG","6-5","210","October 15, 1985","us","8","University of California, Los Angeles"
"2","17","Lou Amundson","PF","6-9","220","December 7, 1982","us","9","University of Nevada, Las Vegas"
"3","43","Thanasis Antetokounmpo","SF","6-7","205","July 17, 1992","gr","R",""
"4","7","Carmelo Anthony","SF","6-8","240","May 29, 1984","us","12","Syracuse University"
"5","3","Jose Calderon","PG","6-3","200","September 28, 1981","es","10",""
"6","11","Cleanthony Early","SF","6-8","210","April 17, 1991","us","1","Wichita State University"
"7","32","Jimmer Fredette","SG","6-2","195","February 25, 1989","us","4","Brigham Young University"
"8","2","Langston Galloway","PG","6-2","200","December 9, 1991","us","1","Saint Joseph's University"
"9","13","Jerian Grant","PG","6-4","195","October 9, 1992","us","R","University of Notre Dame"
"10","8","Robin Lopez","C","7-0","255","April 1, 1988","us","7","Stanford University"
"11","9","Kyle O'Quinn","PF","6-10","250","March 26, 1990","us","3","Norfolk State University"
"12","6","Kristaps Porzingis","PF","7-3","240","August 2, 1995","lv","R",""
"13","1","Kevin Seraphin","C","6-9","285","December 7, 1989","gf","5",""
"14","42","Lance Thomas","PF","6-8","235","April 24, 1988","us","4","Duke University"
"15","18","Sasha Vujacic","SG","6-7","195","March 8, 1984","si","8",""
"16","23","Derrick Williams","SF","6-8","240","May 25, 1991","us","4","University of Arizona"
