"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","12","Steven Adams","C","7-0","255","July 20, 1993","nz","2","University of Pittsburgh"
"2","14","D.J. Augustin","PG","6-0","183","November 10, 1987","us","7","University of Texas at Austin"
"3","4","Nick Collison","PF","6-10","255","October 26, 1980","us","11","University of Kansas"
"4","35","Kevin Durant","SF","6-9","240","September 29, 1988","us","8","University of Texas at Austin"
"5","6","Randy Foye","SG","6-4","213","September 24, 1983","us","9","Villanova University"
"6","34","Josh Huestis","PF","6-7","230","December 19, 1991","us","R","Stanford University"
"7","9","Serge Ibaka","PF","6-10","235","September 18, 1989","cg","6",""
"8","11","Enes Kanter","C","6-11","245","May 20, 1992","ch","4",""
"9","33","Mitch McGary","PF","6-10","255","June 6, 1992","us","1","University of Michigan"
"10","13","Nazr Mohammed","C","6-10","221","September 5, 1977","us","17","University of Kentucky"
"11","2","Anthony Morrow","SG","6-5","210","September 27, 1985","us","7","Georgia Institute of Technology"
"12","6","Steve Novak","PF","6-10","225","June 13, 1983","us","9","Marquette University"
"13","22","Cameron Payne","PG","6-3","185","August 8, 1994","us","R","Murray State University"
"14","21","Andre Roberson","SG","6-7","210","December 4, 1991","us","2","University of Colorado"
"15","5","Kyle Singler","SF","6-8","228","May 4, 1988","us","3","Duke University"
"16","3","Dion Waiters","SG","6-4","225","December 10, 1991","us","3","Syracuse University"
"17","0","Russell Westbrook","PG","6-3","200","November 12, 1988","us","7","University of California, Los Angeles"
