"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","15","Keith Appling","PG","6-1","185","February 13, 1992","us","R","Michigan State University"
"2","3","Dewayne Dedmon","C","7-0","245","August 12, 1989","us","2","University of Southern California"
"3","10","Evan Fournier","SF","6-7","205","October 29, 1992","fr","3",""
"4","8","Channing Frye","PF","6-11","255","May 17, 1983","us","9","University of Arizona"
"5","00","Aaron Gordon","PF","6-9","220","September 16, 1995","us","1","University of Arizona"
"6","12","Tobias Harris","PF","6-9","235","July 15, 1992","us","4","University of Tennessee"
"7","23","Mario Hezonja","SF","6-8","215","February 25, 1995","hr","R",""
"8","7","Ersan Ilyasova","PF","6-10","235","May 15, 1987","tr","7",""
"9","55","Brandon Jennings","PG","6-1","170","September 23, 1989","us","6",""
"10","11","Devyn Marble","SG","6-6","200","September 21, 1992","us","1","University of Iowa"
"11","13","Shabazz Napier","PG","6-1","175","July 14, 1991","us","1","University of Connecticut"
"12","44","Andrew Nicholson","PF","6-9","250","December 8, 1989","ca","3","St. Bonaventure University"
"13","5","Victor Oladipo","SG","6-4","210","May 4, 1992","us","2","Indiana University"
"14","4","Elfrid Payton","PG","6-4","185","February 22, 1994","us","1","University of Louisiana at Lafayette"
"15","14","Jason Smith","C","7-0","245","March 2, 1986","us","7","Colorado State University"
"16","9","Nikola Vucevic","C","7-0","260","October 24, 1990","ch","4","University of Southern California"
"17","32","C.J. Watson","PG","6-2","175","April 17, 1984","us","8","University of Tennessee"
