"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","42","Elton Brand","C","6-8","275","March 11, 1979","us","16","Duke University"
"2","0","Isaiah Canaan","SG","6-0","201","May 21, 1991","us","2","Murray State University"
"3","33","Robert Covington","SF","6-9","215","December 14, 1990","us","2","Tennessee State University"
"4","39","Jerami Grant","SF","6-8","210","March 12, 1994","us","1","Syracuse University"
"5","22","Richaun Holmes","PF","6-10","245","October 15, 1993","us","R","Bowling Green State University"
"6","7","Carl Landry","PF","6-9","248","September 19, 1983","us","8","Purdue University"
"7","5","Kendall Marshall","PG","6-4","200","August 19, 1991","us","3","University of North Carolina"
"8","12","T.J. McConnell","PG","6-2","200","March 25, 1992","us","R","University of Arizona"
"9","4","Nerlens Noel","C","6-11","228","April 10, 1994","us","1","University of Kentucky"
"10","8","Jahlil Okafor","C","6-11","275","December 15, 1995","us","R","Duke University"
"11","26","Phil Pressey","PG","5-11","175","February 17, 1991","us","2","University of Missouri"
"12","9","JaKarr Sampson","SF","6-9","214","March 20, 1993","us","1","St. John's University"
"13","1","Ish Smith","PG","6-0","175","July 5, 1988","us","5","Wake Forest University"
"14","11","Nik Stauskas","SG","6-6","205","October 7, 1993","ca","1","University of Michigan"
"15","31","Hollis Thompson","SG","6-8","206","April 3, 1991","us","2","Georgetown University"
"16","9","Sonny Weems","SF","6-6","205","July 8, 1986","us","3","University of Arkansas"
"17","35","Christian Wood","PF","6-11","220","September 27, 1995","us","R","University of Nevada, Las Vegas"
"18","1","Tony Wroten","PG","6-6","205","April 13, 1993","us","3","University of Washington"
