"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","2","Eric Bledsoe","PG","6-1","190","December 9, 1989","us","5","University of Kentucky"
"2","1","Devin Booker","SG","6-6","206","October 30, 1996","us","R","University of Kentucky"
"3","41","Lorenzo Brown","PG","6-5","189","August 26, 1990","us","2","North Carolina State University"
"4","10","Chase Budinger","SF","6-7","209","May 22, 1988","us","6","University of Arizona"
"5","4","Tyson Chandler","C","7-1","240","October 2, 1982","us","14",""
"6","8","Bryce Cotton","PG","6-1","165","August 11, 1992","us","1","Providence College"
"7","20","Archie Goodwin","PG","6-5","200","August 17, 1994","us","2","University of Kentucky"
"8","43","Kris Humphries","PF","6-9","235","February 6, 1985","us","11","University of Minnesota"
"9","55","Cory Jefferson","PF","6-9","218","December 26, 1990","us","1","Baylor University"
"10","23","John Jenkins","SG","6-4","215","March 6, 1991","us","3","Vanderbilt University"
"11","0","Orlando Johnson","SG","6-5","220","March 11, 1989","us","2","University of California, Santa Barbara"
"12","3","Brandon Knight","SG","6-3","189","December 2, 1991","us","4","University of Kentucky"
"13","21","Alex Len","C","7-1","260","June 16, 1993","ua","2","University of Maryland"
"14","30","Jon Leuer","PF","6-10","228","May 14, 1989","us","4","University of Wisconsin"
"15","52","Jordan McRae","PG","6-6","185","March 28, 1991","us","R","University of Tennessee"
"16","11","Markieff Morris","PF","6-10","245","September 2, 1989","us","4","University of Kansas"
"17","25","Phil Pressey","PG","5-11","175","February 17, 1991","us","2","University of Missouri"
"18","14","Ronnie Price","PG","6-2","190","June 21, 1983","us","10","Utah Valley State College"
"19","35","Mirza Teletovic","PF","6-9","242","September 18, 1985","ba","3",""
"20","17","P.J. Tucker","SF","6-6","245","May 5, 1985","us","4","University of Texas at Austin"
"21","12","T.J. Warren","SF","6-8","230","September 5, 1993","us","1","North Carolina State University"
"22","10","Sonny Weems","SG","6-6","205","July 8, 1986","us","3","University of Arkansas"
"23","15","Alan Williams","PF","6-8","260","January 28, 1993","us","R","University of California, Santa Barbara"
