"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","34","Cliff Alexander","PF","6-8","245","November 16, 1995","us","R","University of Kansas"
"2","8","Al-Farouq Aminu","SF","6-9","220","September 21, 1990","us","5","Wake Forest University"
"3","5","Pat Connaughton","SG","6-5","206","January 6, 1993","us","R","University of Notre Dame"
"4","23","Allen Crabbe","SG","6-6","210","April 9, 1992","us","2","University of California"
"5","17","Ed Davis","PF","6-10","240","June 5, 1989","us","5","University of North Carolina"
"6","10","Tim Frazier","PG","6-1","170","November 1, 1990","us","1","Pennsylvania State University"
"7","4","Maurice Harkless","SF","6-9","215","May 11, 1993","us","3","St. John's University"
"8","9","Gerald Henderson","SG","6-5","215","December 9, 1987","us","6","Duke University"
"9","35","Chris Kaman","C","7-0","265","April 28, 1982","us","12","Central Michigan University"
"10","11","Meyers Leonard","PF","7-1","245","February 27, 1992","us","3","University of Illinois at Urbana-Champaign"
"11","0","Damian Lillard","PG","6-3","195","July 15, 1990","us","3","Weber State University"
"12","3","C.J. McCollum","SG","6-4","200","September 19, 1991","us","2","Lehigh University"
"13","44","Luis Montero","SG","6-7","185","April 6, 1993","do","R","Westchester CC"
"14","24","Mason Plumlee","C","6-11","245","March 5, 1990","us","2","Duke University"
"15","2","Brian Roberts","PG","6-1","173","December 3, 1985","us","3","University of Dayton"
"16","21","Noah Vonleh","PF","6-10","240","August 24, 1995","us","1","Indiana University"
