"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","12","LaMarcus Aldridge","PF","6-11","260","July 19, 1985","us","9","University of Texas at Austin"
"2","1","Kyle Anderson","SF","6-9","230","September 20, 1993","us","1","University of California, Los Angeles"
"3","15","Matt Bonner","C","6-10","235","April 5, 1980","us","11","University of Florida"
"4","18","Rasual Butler","SF","6-7","215","May 23, 1979","us","12","La Salle University"
"5","33","Boris Diaw","PF","6-8","250","April 16, 1982","fr","12",""
"6","21","Tim Duncan","C","6-11","250","April 25, 1976","vi","18","Wake Forest University"
"7","20","Manu Ginobili","SG","6-6","205","July 28, 1977","ar","13",""
"8","14","Danny Green","SG","6-6","215","June 22, 1987","us","6","University of North Carolina"
"9","2","Kawhi Leonard","SF","6-7","230","June 29, 1991","us","4","San Diego State University"
"10","40","Boban Marjanovic","C","7-3","290","August 15, 1988","rs","R",""
"11","23","Kevin Martin","SG","6-7","199","February 1, 1983","us","11","Western Carolina University"
"12","3","Ray McCallum","PG","6-3","190","June 12, 1991","us","2","University of Detroit Mercy"
"13","24","Andre Miller","PG","6-3","200","March 19, 1976","us","16","University of Utah"
"14","8","Patrick Mills","PG","6-0","185","August 11, 1988","au","6","Saint Mary's College of California"
"15","9","Tony Parker","PG","6-2","185","May 17, 1982","be","14",""
"16","17","Jonathon Simmons","SG","6-6","195","September 14, 1989","us","R","University of Houston"
"17","30","David West","PF","6-9","250","August 29, 1980","us","12","Xavier University"
