"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","15","Anthony Bennett","PF","6-8","245","March 14, 1993","ca","2","University of Nevada, Las Vegas"
"2","8","Bismack Biyombo","C","6-9","255","August 28, 1992","cd","4",""
"3","20","Bruno Caboclo","SF","6-9","218","September 21, 1995","br","1",""
"4","5","DeMarre Carroll","SF","6-8","215","July 27, 1986","us","6","University of Missouri"
"5","10","DeMar DeRozan","SG","6-7","221","August 7, 1989","us","6","University of Southern California"
"6","3","James Johnson","PF","6-9","250","February 20, 1987","us","6","Wake Forest University"
"7","6","Cory Joseph","SG","6-3","193","August 20, 1991","ca","4","University of Texas at Austin"
"8","7","Kyle Lowry","PG","6-1","196","March 25, 1986","us","9","Villanova University"
"9","92","Lucas Nogueira","C","7-0","241","July 26, 1992","br","1",""
"10","54","Patrick Patterson","PF","6-9","230","March 14, 1989","us","5","University of Kentucky"
"11","24","Norman Powell","SG","6-4","215","May 25, 1993","us","R","University of California, Los Angeles"
"12","31","Terrence Ross","SF","6-7","206","February 5, 1991","us","3","University of Washington"
"13","4","Luis Scola","PF","6-9","240","April 30, 1980","ar","8",""
"14","1","Jason Thompson","C","6-11","250","July 21, 1986","us","7","Rider University"
"15","17","Jonas Valanciunas","C","7-0","265","May 6, 1992","lt","3",""
"16","55","Delon Wright","PG","6-5","183","April 26, 1992","us","R","University of Utah"
