"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","33","Trevor Booker","PF","6-8","228","November 25, 1987","us","5","Clemson University"
"2","3","Trey Burke","PG","6-1","191","November 12, 1992","us","2","University of Michigan"
"3","10","Alec Burks","SG","6-6","214","July 20, 1991","us","4","University of Colorado"
"4","15","Derrick Favors","PF","6-10","265","July 15, 1991","us","5","Georgia Institute of Technology"
"5","27","Rudy Gobert","C","7-1","245","June 26, 1992","fr","2",""
"6","18","Erick Green","PG","6-4","185","May 9, 1991","us","1","Virginia Polytechnic Institute and State University"
"7","20","Gordon Hayward","SF","6-8","226","March 23, 1990","us","5","Butler University"
"8","5","Rodney Hood","SG","6-8","206","October 20, 1992","us","1","Duke University"
"9","2","Joe Ingles","SF","6-8","226","October 2, 1987","au","1",""
"10","23","Chris Johnson","SF","6-6","206","April 29, 1990","us","3","University of Dayton"
"11","41","Trey Lyles","PF","6-10","234","November 5, 1995","ca","R","University of Kentucky"
"12","8","Shelvin Mack","PG","6-3","203","April 22, 1990","us","4","Butler University"
"13","13","Elijah Millsap","SG","6-6","225","August 12, 1987","us","1","University of Alabama at Birmingham"
"14","25","Raul Neto","PG","6-1","179","May 19, 1992","br","R",""
"15","22","J.J. O'Brien","SF","6-7","228","April 8, 1992","us","R","San Diego State University"
"16","21","Tibor Pleiss","C","7-3","256","November 2, 1989","de","R",""
"17","24","Jeff Withey","C","7-0","231","March 7, 1990","us","2","University of Kansas"
