"","salaries.Rk","salaries.Player","salaries.Salary"
"1","1","Joe Johnson","$24,894,863"
"2","2","Brook Lopez","$20,000,000"
"3","3","Thaddeus Young","$11,200,000"
"4","4","Jarrett Jack","$6,300,000"
"5","5","Deron Williams","$5,500,000"
"6","6","Bojan Bogdanovic","$3,425,510"
"7","7","Sergey Karasev","$1,599,840"
"8","8","Shane Larkin","$1,500,000"
"9","9","Wayne Ellington","$1,500,000"
"10","10","Andrea Bargnani","$1,362,900"
"11","11","Rondae Hollis-Jefferson","$1,335,480"
"12","12","Chris McCullough","$1,140,240"
"13","13","Donald Sloan","$1,015,421"
"14","14","Thomas Robinson","$981,300"
"15","15","Willie Reed","$947,276"
"16","16","Markel Brown","$845,059"
"17","17","Sean Kilpatrick","$320,594"
"18","18","Henry Sims","$161,622"
"19","19","Ryan Boatright","$75,000"
"20","20","Quincy Miller","$50,000"
