"","salaries.Rk","salaries.Player","salaries.Salary"
"1","1","Al Jefferson","$13,833,333"
"2","2","Nicolas Batum","$12,235,750"
"3","3","Kemba Walker","$12,000,000"
"4","4","Marvin Williams","$7,000,000"
"5","5","Michael Kidd-Gilchrist","$6,331,404"
"6","6","Courtney Lee","$5,675,000"
"7","7","Spencer Hawes","$5,543,725"
"8","8","Cody Zeller","$4,204,200"
"9","9","Jeremy Lamb","$3,034,356"
"10","10","Frank Kaminsky","$2,612,500"
"11","11","Jeremy Lin","$2,100,000"
"12","12","Tyler Hansbrough","$1,185,784"
"13","13","Troy Daniels","$947,276"
"14","14","Aaron Harrison","$525,093"
"15","15","Jorge Gutierrez","$301,444"
"16","16","Elliot Williams","$80,000"
