"","salaries.Rk","salaries.Player","salaries.Salary"
"1","1","Klay Thompson","$15,500,000"
"2","2","Draymond Green","$14,300,000"
"3","3","Andrew Bogut","$12,000,000"
"4","4","Andre Iguodala","$11,710,456"
"5","5","Stephen Curry","$11,370,786"
"6","6","Jason Thompson","$6,431,250"
"7","7","Shaun Livingston","$5,543,725"
"8","8","Harrison Barnes","$3,873,398"
"9","9","Marreese Speights","$3,815,000"
"10","10","Leandro Barbosa","$2,500,000"
"11","11","Festus Ezeli","$2,008,748"
"12","12","Brandon Rush","$1,270,964"
"13","13","Kevon Looney","$1,131,960"
"14","14","Ian Clark","$947,276"
"15","15","James Michael McAdoo","$845,059"
"16","16","Anderson Varejao","$458,575"
