"","salaries.Rk","salaries.Player","salaries.Salary"
"1","1","Kobe Bryant","$25,000,000"
"2","2","Roy Hibbert","$15,500,000"
"3","3","Lou Williams","$7,000,000"
"4","4","Nick Young","$5,219,169"
"5","5","D'Angelo Russell","$5,103,120"
"6","6","Julius Randle","$3,132,240"
"7","7","Brandon Bass","$3,000,000"
"8","8","Ryan Kelly","$1,724,250"
"9","9","Metta World Peace","$1,499,187"
"10","10","Larry Nance Jr.","$1,155,600"
"11","11","Robert Sacre","$981,348"
"12","12","Jordan Clarkson","$845,059"
"13","13","Tarik Black","$845,059"
"14","14","Anthony Brown","$700,000"
"15","15","Marcelo Huertas","$525,093"
"16","16","Jonathan Holmes","$100,000"
"17","17","Michael Frazier","$50,000"
"18","18","Robert Upshaw","$35,000"
