"","salaries.Rk","salaries.Player","salaries.Salary"
"1","1","Chris Bosh","$22,192,730"
"2","2","Dwyane Wade","$20,000,000"
"3","3","Goran Dragic","$14,780,000"
"4","4","Luol Deng","$10,151,612"
"5","5","Josh McRoberts","$5,543,725"
"6","6","Udonis Haslem","$2,854,940"
"7","7","Justise Winslow","$2,481,720"
"8","8","Beno Udrih","$2,170,465"
"9","9","Amar'e Stoudemire","$1,499,187"
"10","10","Gerald Green","$1,356,000"
"11","11","Hassan Whiteside","$981,348"
"12","12","Tyler Johnson","$845,059"
"13","13","Josh Richardson","$525,093"
"14","14","Joe Johnson","$414,481"
"15","15","Dorell Wright","$17,637"
"16","16","Briante Weber","$12,355"
