"","salaries.Rk","salaries.Player","salaries.Salary"
"1","1","Carmelo Anthony","$22,875,000"
"2","2","Robin Lopez","$13,000,000"
"3","3","Arron Afflalo","$8,000,000"
"4","4","Jose Calderon","$7,402,812"
"5","5","Derrick Williams","$4,900,000"
"6","6","Kristaps Porzingis","$4,131,720"
"7","7","Kyle O'Quinn","$3,750,000"
"8","8","Kevin Seraphin","$2,800,000"
"9","9","Lou Amundson","$1,650,000"
"10","10","Lance Thomas","$1,650,000"
"11","11","Jerian Grant","$1,572,360"
"12","12","Sasha Vujacic","$1,356,146"
"13","13","Cleanthony Early","$845,059"
"14","14","Langston Galloway","$845,059"
"15","15","Tony Wroten","$167,406"
"16","16","Thanasis Antetokounmpo","$105,888"
"17","17","Wesley Saunders","$75,000"
"18","18","Darion Atkins","$75,000"
"19","19","Jimmer Fredette","$59,731"
"20","20","Travis Trice","$50,000"
