"","salaries.Rk","salaries.Player","salaries.Salary"
"1","1","Anderson Varejao","$9,638,554"
"2","2","Al-Farouq Aminu","$7,500,000"
"3","3","Ed Davis","$7,000,000"
"4","4","Gerald Henderson","$6,000,000"
"5","5","Chris Kaman","$5,000,000"
"6","6","Damian Lillard","$4,236,287"
"7","7","Meyers Leonard","$3,075,880"
"8","8","Maurice Harkless","$2,894,059"
"9","9","Brian Roberts","$2,854,940"
"10","10","Mike Miller","$2,854,940"
"11","11","Noah Vonleh","$2,637,720"
"12","12","C.J. McCollum","$2,525,160"
"13","13","Mason Plumlee","$1,415,520"
"14","14","Allen Crabbe","$947,276"
"15","15","Tim Frazier","$845,059"
"16","16","Luis Montero","$525,093"
"17","17","Pat Connaughton","$525,093"
"18","18","Cliff Alexander","$525,093"
