"","salaries.Rk","salaries.Player","salaries.Salary"
"1","1","DeMarre Carroll","$13,500,000"
"2","2","Kyle Lowry","$12,000,000"
"3","3","DeMar DeRozan","$9,500,000"
"4","4","Cory Joseph","$7,000,000"
"5","5","Patrick Patterson","$6,268,675"
"6","6","Jonas Valanciunas","$4,660,482"
"7","7","Terrence Ross","$3,553,917"
"8","8","Bismack Biyombo","$3,000,000"
"9","9","Luis Scola","$3,000,000"
"10","10","James Johnson","$2,500,000"
"11","11","Lucas Nogueira","$1,842,000"
"12","12","Bruno Caboclo","$1,524,000"
"13","13","Delon Wright","$1,509,360"
"14","14","Anthony Bennett","$947,276"
"15","15","Norman Powell","$650,000"
"16","16","Jason Thompson","$328,955"
"17","17","Ronald Roberts","$75,000"
"18","18","Shannon Scott","$25,000"
"19","19","Axel Toupane","$25,000"
"20","20","Michale Kyser","$25,000"
