"","salaries.Rk","salaries.Player","salaries.Salary"
"1","1","John Wall","$15,851,950"
"2","2","Nene Hilario","$13,000,000"
"3","3","Marcin Gortat","$11,217,391"
"4","4","Markieff Morris","$8,000,000"
"5","5","Bradley Beal","$5,694,674"
"6","6","Martell Webster","$5,613,500"
"7","7","Otto Porter","$4,662,960"
"8","8","Jared Dudley","$4,250,000"
"9","9","Alan Anderson","$4,000,000"
"10","10","Drew Gooden","$3,300,000"
"11","11","Ramon Sessions","$2,170,465"
"12","12","Gary Neal","$2,100,000"
"13","13","Kelly Oubre","$1,920,240"
"14","14","Garrett Temple","$1,100,602"
"15","15","Jarell Eddie","$561,716"
"16","16","J.J. Hickson","$366,337"
"17","17","Marcus Thornton","$251,107"
"18","18","Ryan Hollins","$176,375"
