"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Paul Millsap","30","81","81","2647","501","1066",".470","74","232",".319","427","834",".512",".505","309","408",".757","198","534","732","265","147","139","191","237","1385"
"2","2","Al Horford","29","82","82","2631","529","1048",".505","88","256",".344","441","792",".557",".547","103","129",".798","148","448","596","263","68","121","107","163","1249"
"3","3","Kyle Korver","34","80","80","2401","268","616",".435","158","397",".398","110","219",".502",".563","45","54",".833","14","246","260","164","60","35","98","161","739"
"4","4","Jeff Teague","27","79","78","2255","434","988",".439","110","275",".400","324","713",".454",".495","261","312",".837","33","181","214","470","97","24","218","167","1239"
"5","5","Kent Bazemore","26","75","68","2083","320","725",".441","109","305",".357","211","420",".502",".517","123","151",".815","28","351","379","171","98","38","138","176","872"
"6","6","Thabo Sefolosha","31","75","11","1758","188","372",".505","42","124",".339","146","248",".589",".562","62","99",".626","52","282","334","107","85","37","68","109","480"
"7","7","Dennis Schroder","22","80","6","1621","329","781",".421","77","239",".322","252","542",".465",".471","144","182",".791","25","179","204","349","70","9","183","138","879"
"8","8","Mike Scott","27","75","0","1146","176","376",".468","62","158",".392","114","218",".523",".551","50","63",".794","53","153","206","78","25","17","42","102","464"
"9","9","Tim Hardaway","23","51","1","864","114","265",".430","48","142",".338","66","123",".537",".521","50","56",".893","7","79","86","51","21","7","23","48","326"
"10","10","Tiago Splitter","31","36","2","579","81","155",".523","0","2",".000","81","153",".529",".523","39","48",".813","45","75","120","30","20","12","24","71","201"
"11","11","Mike Muscala","24","60","0","565","76","152",".500","12","39",".308","64","113",".566",".539","31","39",".795","38","79","117","34","13","27","27","72","195"
"12","12","Lamar Patterson","24","35","0","395","28","80",".350","12","49",".245","16","31",".516",".425","16","22",".727","4","46","50","39","9","2","23","45","84"
"13","13","Kris Humphries","30","21","0","295","47","101",".465","8","31",".258","39","70",".557",".505","32","45",".711","20","51","71","13","10","7","14","44","134"
"14","14","Justin Holiday","26","26","1","263","24","73",".329","10","45",".222","14","28",".500",".397","5","10",".500","4","23","27","11","13","4","13","21","63"
"15","15","Shelvin Mack","25","24","0","179","40","95",".421","4","27",".148","36","68",".529",".442","9","12",".750","2","20","22","38","8","0","14","7","93"
"16","16","Kirk Hinrich","35","11","0","76","2","11",".182","1","6",".167","1","5",".200",".227","0","0","","1","11","12","14","2","1","3","1","5"
"17","17","Walter Tavares","23","11","0","73","11","19",".579","0","0","","11","19",".579",".579","3","8",".375","7","14","21","3","1","6","5","8","25"
