"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Isaiah Thomas","26","82","79","2644","591","1382",".428","167","465",".359","424","917",".462",".488","474","544",".871","46","197","243","509","91","9","220","167","1823"
"2","2","Avery Bradley","25","76","72","2536","456","1019",".447","147","407",".361","309","612",".505",".520","96","123",".780","48","172","220","158","117","19","109","164","1155"
"3","3","Jae Crowder","25","73","73","2308","360","813",".443","122","363",".336","238","450",".529",".518","196","239",".820","70","303","373","135","126","35","83","198","1038"
"4","4","Evan Turner","27","81","12","2271","343","753",".456","20","83",".241","323","670",".482",".469","148","179",".827","50","347","397","359","80","28","169","139","854"
"5","5","Jared Sullinger","23","81","73","1915","351","806",".435","29","103",".282","322","703",".458",".453","103","161",".640","194","479","673","187","75","47","102","209","834"
"6","6","Amir Johnson","28","79","76","1800","249","426",".585","10","43",".233","239","383",".624",".596","69","121",".570","178","327","505","138","52","83","94","214","577"
"7","7","Marcus Smart","21","61","10","1667","184","529",".348","61","241",".253","123","288",".427",".405","129","166",".777","76","179","255","185","91","18","80","183","558"
"8","8","Kelly Olynyk","24","69","8","1395","253","556",".455","85","210",".405","168","346",".486",".531","96","128",".750","72","209","281","105","52","33","74","163","687"
"9","9","Jonas Jerebko","28","78","0","1176","118","286",".413","43","108",".398","75","178",".421",".488","61","78",".782","77","211","288","62","20","24","52","137","340"
"10","10","Tyler Zeller","26","60","3","710","138","290",".476","0","0","","138","290",".476",".476","88","108",".815","62","116","178","29","10","22","46","97","364"
"11","11","David Lee","32","30","4","470","87","192",".453","0","1",".000","87","191",".455",".453","40","51",".784","41","89","130","54","12","13","38","51","214"
"12","12","R.J. Hunter","22","36","0","315","36","98",".367","19","63",".302","17","35",".486",".464","6","7",".857","2","35","37","13","14","4","11","29","97"
"13","13","Terry Rozier","21","39","0","311","29","106",".274","6","27",".222","23","79",".291",".302","8","10",".800","24","39","63","37","6","1","19","23","72"
"14","14","James Young","20","29","0","199","11","36",".306","6","26",".231","5","10",".500",".389","1","4",".250","4","22","26","9","6","1","5","17","29"
"15","15","Jordan Mickey","21","16","0","57","8","22",".364","0","0","","8","22",".364",".364","5","10",".500","6","7","13","1","0","11","1","5","21"
"16","16","Coty Clarke","23","3","0","6","2","4",".500","2","2","1.000","0","2",".000",".750","0","0","","0","1","1","0","0","0","1","0","6"
