"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Brook Lopez","27","73","73","2457","591","1157",".511","2","14",".143","589","1143",".515",".512","317","403",".787","204","369","573","147","58","124","175","215","1501"
"2","2","Thaddeus Young","27","73","73","2407","495","963",".514","7","30",".233","488","933",".523",".518","105","163",".644","176","484","660","135","112","37","136","182","1102"
"3","3","Bojan Bogdanovic","26","79","39","2115","324","749",".433","129","338",".382","195","411",".474",".519","110","132",".833","36","219","255","99","29","5","115","119","887"
"4","4","Joe Johnson","34","57","57","1934","247","608",".406","85","229",".371","162","379",".427",".476","92","108",".852","34","190","224","232","40","2","116","100","671"
"5","5","Shane Larkin","23","78","17","1751","222","502",".442","39","108",".361","183","394",".464",".481","83","107",".776","28","152","180","342","95","12","146","121","566"
"6","6","Wayne Ellington","28","76","41","1615","218","561",".389","96","268",".358","122","293",".416",".474","54","63",".857","20","154","174","83","48","5","45","82","586"
"7","7","Donald Sloan","28","61","33","1318","154","350",".440","38","99",".384","116","251",".462",".494","78","104",".750","17","156","173","268","32","4","80","73","424"
"8","8","Jarrett Jack","32","32","32","1027","140","358",".391","31","102",".304","109","256",".426",".434","100","112",".893","9","127","136","236","34","7","94","77","411"
"9","9","Markel Brown","24","62","6","982","127","322",".394","38","121",".314","89","201",".443",".453","71","94",".755","23","99","122","91","38","15","54","94","363"
"10","10","Thomas Robinson","24","71","7","917","130","291",".447","0","1",".000","130","290",".448",".447","47","109",".431","136","223","359","46","39","36","69","111","307"
"11","11","Andrea Bargnani","30","46","0","634","127","279",".455","3","16",".188","124","263",".471",".461","47","57",".825","28","69","97","18","4","9","26","61","304"
"12","12","Rondae Hollis-Jefferson","21","29","17","615","63","138",".457","4","14",".286","59","124",".476",".471","37","52",".712","39","115","154","43","39","16","26","61","167"
"13","13","Sean Kilpatrick","26","23","0","534","115","249",".462","35","97",".361","80","152",".526",".532","53","59",".898","10","40","50","26","10","2","27","30","318"
"14","14","Willie Reed","25","39","2","426","76","133",".571","0","0","","76","133",".571",".571","30","55",".545","49","73","122","10","6","30","16","47","182"
"15","15","Sergey Karasev","22","40","5","399","30","74",".405","11","37",".297","19","37",".514",".480","26","28",".929","8","50","58","35","6","2","22","27","97"
"16","16","Chris McCullough","20","24","4","362","44","109",".404","13","34",".382","31","75",".413",".463","11","23",".478","25","43","68","9","28","12","15","39","112"
"17","17","Henry Sims","25","14","4","263","33","77",".429","0","0","","33","77",".429",".429","25","30",".833","21","51","72","9","9","14","12","37","91"
