"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Jimmy Butler","26","67","67","2474","470","1035",".454","64","205",".312","406","830",".489",".485","395","475",".832","79","279","358","321","110","43","132","124","1399"
"2","2","Pau Gasol","35","72","72","2291","467","995",".469","24","69",".348","443","926",".478",".481","229","289",".792","155","638","793","294","42","146","164","148","1187"
"3","3","Derrick Rose","27","66","66","2097","447","1048",".427","44","150",".293","403","898",".449",".448","142","179",".793","46","179","225","311","44","14","175","84","1080"
"4","4","Taj Gibson","30","73","55","1936","263","500",".526","0","3",".000","263","497",".529",".526","101","146",".692","206","298","504","106","47","77","78","180","627"
"5","5","Doug McDermott","24","81","4","1861","291","644",".452","110","259",".425","181","385",".470",".537","72","84",".857","37","158","195","59","14","6","53","127","764"
"6","6","Nikola Mirotic","24","66","38","1646","248","609",".407","135","346",".390","113","263",".430",".518","146","181",".807","58","304","362","100","58","46","102","151","777"
"7","7","Tony Snell","24","64","33","1301","126","339",".372","56","155",".361","70","184",".380",".454","30","33",".909","19","180","199","63","16","17","52","100","338"
"8","8","E'Twaun Moore","26","59","22","1263","187","389",".481","47","104",".452","140","285",".491",".541","22","35",".629","19","114","133","99","37","18","53","103","443"
"9","9","Aaron Brooks","31","69","0","1108","188","469",".401","66","185",".357","122","284",".430",".471","49","64",".766","21","80","101","180","30","10","82","132","491"
"10","10","Bobby Portis","20","62","4","1102","186","436",".427","16","52",".308","170","384",".443",".445","48","66",".727","123","214","337","52","25","22","54","100","436"
"11","11","Mike Dunleavy","35","31","30","703","77","188",".410","39","99",".394","38","89",".427",".513","29","37",".784","8","75","83","39","14","10","26","66","222"
"12","12","Joakim Noah","30","29","2","635","51","133",".383","0","1",".000","51","132",".386",".383","22","45",".489","87","168","255","110","18","29","52","77","124"
"13","13","Kirk Hinrich","35","35","7","555","47","118",".398","23","56",".411","24","62",".387",".496","15","16",".938","7","51","58","59","13","1","27","63","132"
"14","14","Justin Holiday","26","27","4","510","64","155",".413","26","60",".433","38","95",".400",".497","22","27",".815","8","55","63","45","19","15","26","40","176"
"15","15","Cristiano Felicio","23","31","4","321","40","72",".556","0","4",".000","40","68",".588",".556","25","35",".714","30","72","102","26","6","13","13","31","105"
"16","16","Cameron Bairstow","25","18","2","103","13","40",".325","1","5",".200","12","35",".343",".338","7","8",".875","4","24","28","6","2","3","4","19","34"
