"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Kemba Walker","25","81","81","2885","568","1331",".427","182","490",".371","386","841",".459",".495","371","438",".847","56","301","357","421","126","39","171","111","1689"
"2","2","Nicolas Batum","27","70","70","2448","372","873",".426","139","399",".348","233","474",".492",".506","163","192",".849","55","373","428","403","65","43","205","114","1046"
"3","3","Marvin Williams","29","81","81","2338","338","747",".452","152","378",".402","186","369",".504",".554","120","144",".833","127","394","521","110","58","77","62","133","948"
"4","4","Jeremy Lin","27","78","13","2048","300","728",".412","76","226",".336","224","502",".446",".464","238","292",".815","42","211","253","235","58","42","150","165","914"
"5","5","Cody Zeller","23","73","60","1774","231","437",".529","1","10",".100","230","427",".539",".530","175","232",".754","138","317","455","71","57","63","68","204","638"
"6","6","Frank Kaminsky","22","81","3","1708","215","525",".410","68","202",".337","147","323",".455",".474","108","148",".730","69","266","335","98","38","43","58","126","606"
"7","7","Jeremy Lamb","23","66","0","1227","230","510",".451","56","181",".309","174","329",".529",".506","64","88",".727","44","208","252","77","42","30","50","105","580"
"8","8","Al Jefferson","31","47","18","1096","245","505",".485","0","0","","245","505",".485",".485","72","111",".649","57","244","301","70","30","41","34","117","562"
"9","9","Spencer Hawes","27","57","6","1035","124","306",".405","38","102",".373","86","204",".422",".467","54","65",".831","51","193","244","109","22","27","58","111","340"
"10","10","P.J. Hairston","23","48","43","938","99","276",".359","54","172",".314","45","104",".433",".457","34","42",".810","18","110","128","29","24","7","24","106","286"
"11","11","Courtney Lee","30","28","28","845","98","220",".445","31","79",".392","67","141",".475",".516","23","26",".885","10","77","87","60","33","12","23","55","250"
"12","12","Troy Daniels","24","43","0","476","89","187",".476","59","122",".484","30","65",".462",".634","5","9",".556","7","50","57","21","11","3","24","40","242"
"13","13","Tyler Hansbrough","30","44","0","343","32","71",".451","2","3",".667","30","68",".441",".465","38","65",".585","40","49","89","8","12","7","12","55","104"
"14","14","Brian Roberts","30","30","0","333","51","115",".443","9","27",".333","42","88",".477",".483","34","37",".919","4","25","29","38","7","1","16","23","145"
"15","15","Michael Kidd-Gilchrist","22","7","7","205","33","61",".541","3","7",".429","30","54",".556",".566","20","29",".690","12","33","45","9","3","3","8","9","89"
"16","16","Aaron Harrison","21","21","0","93","5","19",".263","3","10",".300","2","9",".222",".342","5","12",".417","4","11","15","2","6","0","4","10","18"
"17","17","Jorge Gutierrez","27","12","0","63","6","11",".545","0","2",".000","6","9",".667",".545","10","11",".909","0","7","7","17","3","0","6","3","22"
