"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","LeBron James","31","76","76","2709","737","1416",".520","87","282",".309","650","1134",".573",".551","359","491",".731","111","454","565","514","104","49","249","143","1920"
"2","2","Kevin Love","27","77","77","2424","409","977",".419","158","439",".360","251","538",".467",".499","258","314",".822","149","613","762","186","58","41","142","159","1234"
"3","3","J.R. Smith","30","77","77","2362","353","850",".415","204","510",".400","149","340",".438",".535","45","71",".634","43","174","217","130","81","21","59","204","955"
"4","4","Tristan Thompson","24","82","34","2269","247","420",".588","0","0","","247","420",".588",".588","149","242",".616","268","470","738","62","38","51","61","202","643"
"5","5","Matthew Dellavedova","25","76","14","1867","207","511",".405","98","239",".410","109","272",".401",".501","57","66",".864","33","129","162","337","44","9","116","178","569"
"6","6","Kyrie Irving","23","53","53","1667","394","879",".448","84","262",".321","310","617",".502",".496","169","191",".885","44","113","157","249","56","18","124","107","1041"
"7","7","Timofey Mozgov","29","76","48","1326","203","359",".565","1","7",".143","202","352",".574",".567","68","95",".716","110","227","337","33","22","57","71","159","475"
"8","8","Richard Jefferson","35","74","5","1326","143","312",".458","66","173",".382","77","139",".554",".564","58","87",".667","15","113","128","59","33","14","43","129","410"
"9","9","Iman Shumpert","25","54","5","1316","114","305",".374","43","146",".295","71","159",".447",".444","40","51",".784","32","171","203","92","54","19","57","119","311"
"10","10","Mo Williams","33","41","14","748","132","302",".437","36","102",".353","96","200",".480",".497","38","42",".905","6","66","72","98","14","5","57","60","338"
"11","11","James Jones","35","48","0","463","58","142",".408","41","104",".394","17","38",".447",".553","21","26",".808","8","42","50","14","11","10","13","50","178"
"12","12","Channing Frye","32","26","3","446","71","161",".441","43","114",".377","28","47",".596",".575","11","14",".786","12","81","93","26","8","8","13","56","196"
"13","13","Jared Cunningham","24","40","3","355","32","91",".352","10","32",".313","22","59",".373",".407","30","48",".625","3","26","29","19","12","2","18","37","104"
"14","14","Anderson Varejao","33","31","0","310","32","76",".421","0","1",".000","32","75",".427",".421","16","21",".762","24","67","91","20","11","5","16","35","80"
"15","15","Jordan McRae","24","15","1","113","23","52",".442","7","11",".636","16","41",".390",".510","9","13",".692","2","10","12","15","0","1","9","10","62"
"16","16","Sasha Kaun","30","25","0","95","9","17",".529","0","0","","9","17",".529",".529","5","11",".455","12","14","26","3","4","5","7","11","23"
"17","17","Dahntay Jones","35","1","0","42","6","14",".429","1","2",".500","5","12",".417",".464","0","0","","1","4","5","2","1","2","0","6","13"
"18","18","Joe Harris","24","5","0","15","1","4",".250","1","4",".250","0","0","",".375","0","0","","0","3","3","2","0","0","1","1","3"
