"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Wesley Matthews","29","78","78","2644","331","854",".388","189","525",".360","142","329",".432",".498","126","146",".863","27","211","238","151","78","17","78","179","977"
"2","2","Dirk Nowitzki","37","75","75","2364","498","1112",".448","126","342",".368","372","770",".483",".504","250","280",".893","52","437","489","132","52","52","84","161","1372"
"3","3","Raymond Felton","31","80","31","2192","277","682",".406","60","213",".282","217","469",".463",".450","149","176",".847","36","222","258","284","68","15","121","141","763"
"4","4","Deron Williams","31","65","63","2106","321","775",".414","97","282",".344","224","493",".454",".477","179","206",".869","19","171","190","378","61","14","150","155","918"
"5","5","Zaza Pachulia","31","76","69","2004","219","470",".466","0","3",".000","219","467",".469",".466","212","276",".768","249","469","718","128","64","22","119","181","650"
"6","6","Chandler Parsons","27","61","51","1799","320","651",".492","104","251",".414","216","400",".540",".571","93","136",".684","29","256","285","169","46","21","95","114","837"
"7","7","J.J. Barea","31","74","16","1667","317","711",".446","100","260",".385","217","451",".481",".516","74","96",".771","26","126","152","302","26","2","113","110","808"
"8","8","Devin Harris","32","64","0","1280","167","374",".447","52","158",".329","115","216",".532",".516","101","140",".721","18","120","138","118","60","13","66","124","487"
"9","9","Dwight Powell","24","69","2","992","146","296",".493","2","16",".125","144","280",".514",".497","105","142",".739","84","189","273","44","36","24","40","118","399"
"10","10","Charlie Villanueva","31","62","4","665","125","327",".382","47","172",".273","78","155",".503",".454","22","24",".917","24","128","152","24","18","15","31","71","319"
"11","11","Justin Anderson","22","55","9","647","71","175",".406","22","83",".265","49","92",".533",".469","44","55",".800","18","114","132","29","19","25","24","45","208"
"12","12","David Lee","32","25","1","433","91","143",".636","0","0","","91","143",".636",".636","31","42",".738","60","115","175","30","10","15","28","63","213"
"13","13","Salah Mejri","29","34","6","397","49","78",".628","0","1",".000","49","77",".636",".628","27","46",".587","41","82","123","10","8","36","23","54","125"
"14","14","JaVale McGee","28","34","2","370","77","134",".575","0","1",".000","77","133",".579",".575","18","36",".500","53","80","133","3","5","26","21","49","172"
"15","15","Jeremy Evans","28","30","2","251","26","48",".542","4","16",".250","22","32",".688",".583","15","21",".714","11","43","54","2","6","9","7","19","71"
"16","16","John Jenkins","24","21","1","193","29","70",".414","3","19",".158","26","51",".510",".436","8","9",".889","4","18","22","9","3","0","11","11","69"
