"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Gary Harris","21","76","76","2439","359","765",".469","105","297",".354","254","468",".543",".538","109","133",".820","54","166","220","147","97","18","98","143","932"
"2","2","Will Barton","25","82","1","2353","425","983",".432","112","325",".345","313","658",".476",".489","216","268",".806","59","417","476","203","71","39","139","147","1178"
"3","3","Emmanuel Mudiay","19","68","66","2068","329","905",".364","74","232",".319","255","673",".379",".404","140","209",".670","32","200","232","372","65","35","217","141","872"
"4","4","Danilo Gallinari","27","53","53","1839","287","700",".410","87","239",".364","200","461",".434",".472","375","432",".868","52","229","281","135","42","19","77","87","1036"
"5","5","Nikola Jokic","20","80","55","1733","307","600",".512","28","84",".333","279","516",".541",".535","154","190",".811","181","379","560","189","79","50","104","208","796"
"6","6","Kenneth Faried","26","67","64","1694","349","626",".558","1","2",".500","348","624",".558",".558","136","222",".613","235","346","581","79","32","60","91","169","835"
"7","7","Darrell Arthur","27","70","16","1516","221","489",".452","45","117",".385","176","372",".473",".498","40","53",".755","86","207","293","96","53","48","66","185","527"
"8","8","Randy Foye","32","54","7","1070","117","333",".351","50","169",".296","67","164",".409",".426","39","47",".830","16","89","105","112","26","16","58","83","323"
"9","9","Joffrey Lauvergne","24","59","15","1041","195","380",".513","13","53",".245","182","327",".557",".530","62","69",".899","77","213","290","56","13","15","54","115","465"
"10","10","Jameer Nelson","33","39","15","1036","113","307",".368","43","144",".299","70","163",".429",".438","30","35",".857","19","96","115","190","25","5","66","100","299"
"11","11","D.J. Augustin","28","28","0","659","102","229",".445","44","107",".411","58","122",".475",".541","77","94",".819","3","49","52","132","25","2","54","44","325"
"12","12","Jusuf Nurkic","21","32","3","547","101","242",".417","0","3",".000","101","239",".423",".417","61","99",".616","65","110","175","40","24","44","55","91","263"
"13","13","JaKarr Sampson","22","26","22","469","54","115",".470","8","29",".276","46","86",".535",".504","18","25",".720","16","45","61","16","12","17","19","51","134"
"14","14","Mike Miller","35","47","2","373","22","62",".355","19","52",".365","3","10",".300",".508","0","0","","6","47","53","40","13","4","17","53","63"
"15","15","J.J. Hickson","27","20","9","305","55","109",".505","0","0","","55","109",".505",".505","27","59",".458","22","65","87","16","10","12","16","35","137"
"16","16","Axel Toupane","23","21","0","305","25","70",".357","13","40",".325","12","30",".400",".450","13","17",".765","8","23","31","15","7","6","6","40","76"
"17","17","Kostas Papanikolaou","25","26","6","294","24","66",".364","10","32",".313","14","34",".412",".439","9","14",".643","8","32","40","16","13","5","21","24","67"
"18","18","Sean Kilpatrick","26","8","0","82","8","21",".381","4","17",".235","4","4","1.000",".476","7","8",".875","2","4","6","3","2","0","4","7","27"
"19","19","Erick Green","24","3","0","7","0","1",".000","0","1",".000","0","0","",".000","0","0","","0","1","1","1","0","0","0","0","0"
