"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Marcus Morris","26","80","80","2856","410","945",".434","108","298",".362","302","647",".467",".491","203","271",".749","91","313","404","201","67","23","140","170","1131"
"2","2","Kentavious Caldwell-Pope","22","76","76","2789","403","960",".420","114","369",".309","289","591",".489",".479","185","228",".811","70","212","282","138","110","17","105","167","1105"
"3","3","Andre Drummond","22","81","81","2666","552","1060",".521","2","6",".333","550","1054",".522",".522","208","586",".355","395","803","1198","67","119","112","155","245","1314"
"4","4","Reggie Jackson","25","79","79","2424","540","1244",".434","118","334",".353","422","910",".464",".482","291","337",".864","58","195","253","492","59","11","223","187","1489"
"5","5","Stanley Johnson","19","73","6","1687","225","600",".375","63","205",".307","162","395",".410",".428","80","102",".784","58","248","306","118","55","12","114","178","593"
"6","6","Ersan Ilyasova","28","52","52","1434","216","508",".425","78","215",".363","138","293",".471",".502","79","109",".725","99","183","282","55","38","27","59","120","589"
"7","7","Anthony Tolliver","30","72","5","1341","128","332",".386","98","272",".360","30","60",".500",".533","29","47",".617","39","190","229","52","26","16","28","86","383"
"8","8","Aron Baynes","29","81","1","1233","194","384",".505","0","2",".000","194","382",".508",".505","126","165",".764","140","244","384","51","21","52","67","151","514"
"9","9","Steve Blake","35","58","2","986","93","240",".388","52","151",".344","41","89",".461",".496","16","20",".800","9","80","89","200","24","5","81","70","254"
"10","10","Tobias Harris","23","27","25","903","166","348",".477","33","88",".375","133","260",".512",".524","82","90",".911","25","143","168","70","18","12","30","62","447"
"11","11","Reggie Bullock","24","37","0","429","43","98",".439","22","53",".415","21","45",".467",".551","14","15",".933","14","54","68","27","10","2","8","29","122"
"12","12","Brandon Jennings","26","23","1","416","53","143",".371","24","77",".312","29","66",".439",".455","27","38",".711","5","41","46","70","11","2","22","24","157"
"13","13","Darrun Hilliard","22","38","2","383","52","131",".397","19","50",".380","33","81",".407",".469","29","40",".725","5","40","45","27","9","1","19","28","152"
"14","14","Spencer Dinwiddie","22","12","0","159","19","54",".352","1","10",".100","18","44",".409",".361","19","33",".576","4","13","17","22","3","0","7","20","58"
"15","15","Joel Anthony","33","19","0","96","6","10",".600","0","0","","6","10",".600",".600","6","8",".750","8","13","21","1","2","12","2","15","18"
"16","16","Jodie Meeks","28","3","0","43","7","20",".350","4","9",".444","3","11",".273",".450","4","4","1.000","1","4","5","3","0","0","1","2","22"
"17","17","Justin Harper","26","5","0","35","4","10",".400","4","9",".444","0","1",".000",".600","1","2",".500","0","1","1","0","1","0","2","3","13"
