"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Draymond Green","25","81","81","2808","401","819",".490","100","258",".388","301","561",".537",".551","229","329",".696","134","635","769","598","119","113","259","240","1131"
"2","2","Stephen Curry","27","79","79","2700","805","1598",".504","402","886",".454","403","712",".566",".630","363","400",".908","68","362","430","527","169","15","262","161","2375"
"3","3","Klay Thompson","25","80","80","2666","651","1386",".470","276","650",".425","375","736",".510",".569","193","221",".873","35","271","306","166","60","49","138","152","1771"
"4","4","Harrison Barnes","23","66","59","2042","295","633",".466","82","214",".383","213","419",".508",".531","102","134",".761","77","248","325","117","41","10","57","136","774"
"5","5","Andre Iguodala","32","65","1","1732","176","368",".478","54","154",".351","122","214",".570",".552","51","83",".614","52","211","263","219","73","19","79","102","457"
"6","6","Shaun Livingston","30","78","3","1520","203","379",".536","2","12",".167","201","367",".548",".538","80","93",".860","42","127","169","237","57","27","78","140","488"
"7","7","Andrew Bogut","31","70","66","1451","175","279",".627","1","1","1.000","174","278",".626",".629","24","50",".480","121","371","492","162","33","114","83","221","375"
"8","8","Leandro Barbosa","33","68","0","1079","171","370",".462","39","110",".355","132","260",".508",".515","52","62",".839","28","89","117","82","44","10","53","107","433"
"9","9","Brandon Rush","30","72","25","1055","111","260",".427","65","157",".414","46","103",".447",".552","18","28",".643","21","160","181","57","20","23","33","57","305"
"10","10","Marreese Speights","28","72","0","832","197","456",".432","24","62",".387","173","394",".439",".458","94","114",".825","77","162","239","61","19","34","66","117","512"
"11","11","Festus Ezeli","26","46","13","770","125","228",".548","0","0","","125","228",".548",".548","70","132",".530","91","166","257","32","18","50","38","94","320"
"12","12","Ian Clark","24","66","1","578","89","202",".441","30","84",".357","59","118",".500",".515","28","34",".824","13","55","68","64","17","13","43","58","236"
"13","13","James Michael McAdoo","23","41","1","262","45","84",".536","1","2",".500","44","82",".537",".542","26","49",".531","30","28","58","17","10","8","16","39","117"
"14","14","Anderson Varejao","33","22","0","186","21","48",".438","0","0","","21","48",".438",".438","16","29",".552","13","37","50","15","5","5","6","35","58"
"15","15","Jason Thompson","29","28","1","179","20","42",".476","0","0","","20","42",".476",".476","20","32",".625","10","44","54","19","4","8","7","40","60"
"16","16","Kevon Looney","19","5","0","21","4","7",".571","1","2",".500","3","5",".600",".643","0","0","","4","6","10","0","0","0","1","2","9"
