"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","James Harden","26","82","82","3125","710","1617",".439","236","657",".359","474","960",".494",".512","720","837",".860","63","438","501","612","139","51","374","229","2376"
"2","2","Trevor Ariza","30","81","81","2859","357","859",".416","185","499",".371","172","360",".478",".523","126","161",".783","67","299","366","188","160","26","113","177","1025"
"3","3","Dwight Howard","30","71","71","2280","372","600",".620","0","6",".000","372","594",".626",".620","232","474",".489","238","597","835","98","69","113","166","219","976"
"4","4","Patrick Beverley","27","71","63","2041","258","594",".434","124","310",".400","134","284",".472",".539","60","88",".682","73","177","250","239","94","26","91","234","700"
"5","5","Corey Brewer","29","82","12","1669","212","552",".384","61","224",".272","151","328",".460",".439","105","140",".750","42","157","199","109","84","19","78","168","590"
"6","6","Clint Capela","21","77","35","1471","231","397",".582","0","1",".000","231","396",".583",".582","80","211",".379","194","300","494","47","59","92","60","190","542"
"7","7","Jason Terry","38","72","7","1258","151","376",".402","93","261",".356","58","115",".504",".525","27","33",".818","14","65","79","103","47","9","49","91","422"
"8","8","Ty Lawson","28","53","12","1176","111","287",".387","31","94",".330","80","193",".415",".441","56","80",".700","20","69","89","180","43","6","82","71","309"
"9","9","Terrence Jones","24","50","11","1044","166","367",".452","25","79",".316","141","288",".490",".486","77","116",".664","62","149","211","41","23","39","49","86","434"
"10","10","Marcus Thornton","28","47","6","885","174","435",".400","73","216",".338","101","219",".461",".484","51","58",".879","31","84","115","66","34","3","40","73","472"
"11","11","Donatas Motiejunas","25","37","22","547","90","205",".439","16","57",".281","74","148",".500",".478","34","53",".642","37","72","109","41","17","5","44","69","230"
"12","12","Josh Smith","30","23","6","421","58","169",".343","23","85",".271","35","84",".417",".411","12","25",".480","18","49","67","48","16","13","36","56","151"
"13","13","Montrezl Harrell","22","39","1","379","58","90",".644","0","1",".000","58","89",".652",".644","24","46",".522","25","40","65","17","11","11","17","48","140"
"14","14","Michael Beasley","27","20","0","363","107","205",".522","3","9",".333","104","196",".531",".529","38","49",".776","29","69","98","16","11","9","24","39","255"
"15","15","K.J. McDaniels","22","37","1","235","29","72",".403","7","25",".280","22","47",".468",".451","24","30",".800","16","26","42","10","7","6","17","30","89"
"16","16","Andrew Goudelock","27","8","0","50","9","20",".450","1","9",".111","8","11",".727",".475","3","4",".750","1","1","2","4","6","2","7","4","22"
"17","17","Chuck Hayes","32","2","0","24","1","2",".500","0","0","","1","2",".500",".500","2","2","1.000","0","8","8","2","0","0","3","6","4"
"18","18","Sam Dekker","21","3","0","6","0","0","","0","0","","0","0","","","0","0","","0","1","1","0","1","0","0","0","0"
