"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Paul George","25","81","81","2819","605","1449",".418","210","566",".371","395","883",".447",".490","454","528",".860","79","484","563","329","152","29","265","230","1874"
"2","2","Monta Ellis","30","81","81","2734","436","1021",".427","87","282",".309","349","739",".472",".470","162","206",".786","42","229","271","383","150","37","203","174","1121"
"3","3","George Hill","29","74","73","2524","326","739",".441","128","314",".408","198","425",".466",".528","114","150",".760","58","240","298","259","83","17","101","149","894"
"4","4","Ian Mahinmi","29","71","71","1816","264","448",".589","0","0","","264","448",".589",".589","132","225",".587","138","369","507","104","65","75","100","220","660"
"5","5","Lavoy Allen","26","79","28","1599","191","370",".516","0","0","","191","370",".516",".516","46","73",".630","162","262","424","76","26","42","69","147","428"
"6","6","Jordan Hill","28","73","11","1513","278","549",".506","0","1",".000","278","548",".507",".506","89","125",".712","156","295","451","87","36","37","92","155","645"
"7","7","C.J. Miles","28","64","24","1464","259","634",".409","142","387",".367","117","247",".474",".521","93","124",".750","25","150","175","63","53","29","70","142","753"
"8","8","Myles Turner","19","60","30","1367","264","530",".498","3","14",".214","261","516",".506",".501","88","121",".727","68","264","332","41","25","86","67","158","619"
"9","9","Rodney Stuckey","29","58","1","1275","183","443",".413","20","83",".241","163","360",".453",".436","131","158",".829","19","137","156","142","43","8","76","77","517"
"10","10","Solomon Hill","24","59","3","866","93","208",".447","24","74",".324","69","134",".515",".505","36","42",".857","39","127","166","57","37","11","33","68","246"
"11","11","Chase Budinger","27","49","2","729","81","194",".418","20","69",".290","61","125",".488",".469","34","48",".708","31","90","121","49","29","9","31","46","216"
"12","12","Glenn Robinson","22","45","4","508","65","151",".430","14","37",".378","51","114",".447",".477","27","39",".692","12","56","68","26","17","9","18","21","171"
"13","13","Joe Young","23","41","0","384","62","169",".367","10","46",".217","52","123",".423",".396","20","25",".800","6","44","50","65","15","0","33","30","154"
"14","14","Ty Lawson","28","13","1","235","28","67",".418","5","14",".357","23","53",".434",".455","3","6",".500","6","25","31","57","10","1","13","16","64"
"15","15","Shayne Whittington","24","7","0","41","5","11",".455","0","2",".000","5","9",".556",".455","1","2",".500","5","7","12","3","1","1","5","7","11"
"16","16","Rakeem Christmas","24","1","0","6","2","2","1.000","0","0","","2","2","1.000","1.000","0","0","","1","0","1","0","0","0","0","1","4"
