"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","DeAndre Jordan","27","77","77","2598","357","508",".703","0","1",".000","357","507",".704",".703","266","619",".430","267","792","1059","90","51","177","107","207","980"
"2","2","Chris Paul","30","74","74","2420","515","1114",".462","122","329",".371","393","785",".501",".517","294","328",".896","39","271","310","738","152","13","194","185","1446"
"3","3","Jamal Crawford","35","79","5","2126","379","939",".404","117","344",".340","262","595",".440",".466","245","271",".904","20","125","145","183","52","12","113","122","1120"
"4","4","J.J. Redick","31","75","75","2097","422","880",".480","200","421",".475","222","459",".484",".593","182","205",".888","10","129","139","106","42","5","78","135","1226"
"5","5","Wesley Johnson","28","80","9","1666","208","515",".404","103","309",".333","105","206",".510",".504","30","46",".652","37","211","248","49","89","56","54","173","549"
"6","6","Austin Rivers","23","67","7","1464","226","516",".438","62","185",".335","164","331",".495",".498","79","116",".681","22","108","130","99","48","9","61","137","593"
"7","7","Luc Mbah a Moute","29","75","61","1274","94","207",".454","13","40",".325","81","167",".485",".486","30","57",".526","60","111","171","30","44","19","34","100","231"
"8","8","Paul Pierce","38","68","38","1231","144","397",".363","75","242",".310","69","155",".445",".457","54","66",".818","12","174","186","71","33","17","58","129","417"
"9","9","Blake Griffin","26","35","35","1170","301","603",".499","6","18",".333","295","585",".504",".504","141","194",".727","51","243","294","170","28","17","83","95","749"
"10","10","Pablo Prigioni","38","59","3","823","55","147",".374","28","95",".295","27","52",".519",".469","7","8",".875","38","76","114","130","53","1","49","82","145"
"11","11","Cole Aldrich","27","60","5","800","134","225",".596","0","0","","134","225",".596",".596","60","84",".714","86","202","288","50","47","68","64","139","328"
"12","12","Jeff Green","29","27","10","709","114","267",".427","25","77",".325","89","190",".468",".474","40","65",".615","19","72","91","40","18","21","24","62","293"
"13","13","Lance Stephenson","25","43","10","680","82","166",".494","19","47",".404","63","119",".529",".551","21","30",".700","19","89","108","60","24","3","48","79","204"
"14","14","Josh Smith","30","32","1","459","69","180",".383","18","58",".310","51","122",".418",".433","25","42",".595","33","92","125","42","18","34","41","62","181"
"15","15","C.J. Wilcox","25","23","0","167","26","66",".394","9","23",".391","17","43",".395",".462","9","12",".750","1","11","12","10","10","2","2","15","70"
"16","16","Jeff Ayres","28","17","0","107","12","23",".522","0","1",".000","12","22",".545",".522","6","6","1.000","4","18","22","5","0","3","6","18","30"
"17","17","Branden Dawson","22","6","0","29","2","5",".400","0","0","","2","5",".400",".400","1","1","1.000","2","2","4","0","0","1","0","2","5"
"18","18","Alex Stepheson","28","4","0","12","1","1","1.000","0","0","","1","1","1.000","1.000","0","2",".000","1","1","2","0","0","2","0","4","2"
