"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Jordan Clarkson","23","79","79","2552","475","1098",".433","111","320",".347","364","778",".468",".483","164","204",".804","93","220","313","192","88","7","135","168","1225"
"2","2","Julius Randle","21","81","60","2286","358","835",".429","10","36",".278","348","799",".436",".435","193","270",".715","172","657","829","144","53","29","149","242","919"
"3","3","D'Angelo Russell","19","80","48","2259","392","956",".410","130","370",".351","262","586",".447",".478","140","190",".737","47","227","274","266","93","13","196","142","1054"
"4","4","Lou Williams","29","67","35","1907","283","693",".408","110","320",".344","173","373",".464",".488","352","424",".830","31","138","169","167","62","19","107","107","1028"
"5","5","Roy Hibbert","29","81","81","1878","182","411",".443","0","2",".000","182","409",".445",".443","117","145",".807","132","266","398","95","32","110","76","252","481"
"6","6","Kobe Bryant","37","66","66","1863","398","1113",".358","133","467",".285","265","646",".410",".417","232","281",".826","41","206","247","184","62","13","129","115","1161"
"7","7","Brandon Bass","30","66","0","1342","174","317",".549","0","2",".000","174","315",".552",".549","125","148",".845","104","181","285","74","33","55","42","125","473"
"8","8","Larry Nance Jr.","23","63","22","1266","158","300",".527","1","10",".100","157","290",".541",".528","32","47",".681","101","211","312","44","54","23","41","124","349"
"9","9","Nick Young","30","54","2","1033","126","372",".339","77","237",".325","49","135",".363",".442","63","76",".829","14","83","97","34","23","7","30","50","392"
"10","10","Marcelo Huertas","32","53","0","869","97","230",".422","16","61",".262","81","169",".479",".457","27","29",".931","18","72","90","182","26","7","80","76","237"
"11","11","Anthony Brown","23","29","11","599","39","126",".310","20","70",".286","19","56",".339",".389","17","20",".850","9","61","70","19","14","5","15","34","115"
"12","12","Metta World Peace","36","35","5","590","55","177",".311","26","84",".310","29","93",".312",".384","40","57",".702","19","70","89","27","22","11","15","67","176"
"13","13","Tarik Black","24","39","0","496","57","104",".548","0","0","","57","104",".548",".548","19","45",".422","44","113","157","16","14","18","22","78","133"
"14","14","Ryan Kelly","24","36","0","470","55","149",".369","5","37",".135","50","112",".446",".386","37","54",".685","21","100","121","20","13","10","18","39","152"
"15","15","Robert Sacre","26","25","1","320","31","75",".413","0","0","","31","75",".413",".413","25","38",".658","32","40","72","14","4","10","12","43","87"
