"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Matt Barnes","35","76","45","2190","264","693",".381","119","370",".322","145","323",".449",".467","111","138",".804","84","336","420","163","78","57","121","234","758"
"2","2","Zach Randolph","34","68","53","2016","431","907",".475","6","26",".231","425","881",".482",".479","172","216",".796","179","350","529","142","43","13","105","146","1040"
"3","3","Marc Gasol","31","52","52","1791","328","707",".464","2","3",".667","326","704",".463",".465","203","245",".829","58","304","362","196","50","70","118","141","861"
"4","4","Mike Conley","28","56","56","1761","294","696",".422","78","215",".363","216","481",".449",".478","191","229",".834","26","138","164","342","67","16","84","100","857"
"5","5","Tony Allen","34","64","57","1620","215","469",".458","15","42",".357","200","427",".468",".474","90","138",".652","104","192","296","70","110","18","78","175","535"
"6","6","Jeff Green","29","53","31","1544","240","557",".431","42","136",".309","198","421",".470",".469","124","155",".800","55","186","241","98","40","19","69","102","646"
"7","7","Courtney Lee","30","51","37","1489","192","419",".458","51","138",".370","141","281",".502",".519","76","92",".826","19","99","118","76","52","16","49","79","511"
"8","8","JaMychal Green","25","78","15","1446","230","495",".465","15","45",".333","215","450",".478",".480","103","137",".752","139","234","373","67","46","33","83","189","578"
"9","9","Mario Chalmers","29","55","7","1253","172","412",".417","45","138",".326","127","274",".464",".472","206","249",".827","23","120","143","211","80","12","101","165","595"
"10","10","Vince Carter","39","60","3","1005","133","343",".388","59","169",".349","74","174",".425",".474","70","84",".833","31","115","146","56","38","16","35","101","395"
"11","11","Lance Stephenson","25","26","3","692","146","308",".474","11","31",".355","135","277",".487",".492","66","81",".815","21","94","115","73","19","6","46","56","369"
"12","12","Ryan Hollins","31","32","9","412","45","72",".625","0","0","","45","72",".625",".625","26","42",".619","40","47","87","10","6","20","21","58","116"
"13","13","Jarell Martin","21","27","0","380","54","116",".466","0","2",".000","54","114",".474",".466","45","62",".726","39","47","86","15","8","7","19","58","153"
"14","14","P.J. Hairston","23","18","9","375","46","132",".348","16","69",".232","30","63",".476",".409","16","22",".727","7","39","46","9","8","4","17","31","124"
"15","15","Chris Andersen","37","20","14","366","34","62",".548","2","9",".222","32","53",".604",".565","22","32",".688","33","56","89","9","14","10","7","25","92"
"16","16","Jordan Farmar","29","12","10","291","42","100",".420","16","45",".356","26","55",".473",".500","10","10","1.000","4","21","25","37","15","2","18","22","110"
"17","17","Xavier Munford","23","14","0","244","32","77",".416","9","23",".391","23","54",".426",".474","7","14",".500","3","28","31","22","13","3","15","25","80"
"18","18","Ray McCallum","24","10","3","219","28","79",".354","10","26",".385","18","53",".340",".418","3","5",".600","2","14","16","27","7","3","13","15","69"
"19","19","Brandan Wright","28","12","2","212","35","52",".673","0","0","","35","52",".673",".673","13","24",".542","14","29","43","6","5","15","10","21","83"
"20","20","Briante Weber","23","6","4","166","13","38",".342","0","5",".000","13","33",".394",".342","3","4",".750","8","16","24","20","9","3","9","11","29"
"21","21","Beno Udrih","33","8","0","120","20","46",".435","4","11",".364","16","35",".457",".478","3","3","1.000","2","7","9","26","3","1","11","11","47"
"22","22","Russ Smith","24","15","0","66","7","22",".318","1","5",".200","6","17",".353",".341","8","13",".615","1","8","9","11","5","1","7","5","23"
"23","23","Alex Stepheson","28","4","0","61","8","26",".308","0","0","","8","26",".308",".308","4","10",".400","18","8","26","2","1","3","0","8","20"
"24","24","Elliot Williams","26","5","0","45","2","10",".200","1","4",".250","1","6",".167",".250","3","4",".750","1","3","4","4","0","0","1","2","8"
"25","25","James Ennis","25","10","0","40","4","13",".308","2","8",".250","2","5",".400",".385","6","10",".600","4","3","7","2","4","2","2","1","16"
"26","26","Jordan Adams","21","2","0","15","2","6",".333","0","1",".000","2","5",".400",".333","3","5",".600","0","2","2","3","3","0","2","2","7"
"27","27","Bryce Cotton","23","5","0","6","2","2","1.000","0","0","","2","2","1.000","1.000","0","0","","0","0","0","0","0","0","0","0","4"
"28","28","Jarnell Stokes","22","2","0","4","0","0","","0","0","","0","0","","","0","0","","1","1","2","0","0","0","0","0","0"
