"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Khris Middleton","24","79","79","2852","507","1142",".444","143","361",".396","364","781",".466",".507","277","312",".888","44","258","302","331","131","19","180","204","1434"
"2","2","Giannis Antetokounmpo","21","80","79","2823","513","1013",".506","28","109",".257","485","904",".537",".520","296","409",".724","113","499","612","345","94","113","208","258","1350"
"3","3","Jabari Parker","20","76","72","2408","443","899",".493","9","35",".257","434","864",".502",".498","175","228",".768","123","272","395","130","69","29","116","154","1070"
"4","4","Greg Monroe","25","79","67","2314","491","941",".522","0","1",".000","491","940",".522",".522","228","308",".740","218","478","696","178","72","67","129","163","1210"
"5","5","Michael Carter-Williams","24","54","37","1649","251","555",".452","15","55",".273","236","500",".472",".466","106","162",".654","48","228","276","281","80","41","153","162","623"
"6","6","Jerryd Bayless","27","52","18","1505","185","437",".423","101","231",".437","84","206",".408",".539","70","90",".778","21","120","141","163","47","11","73","111","541"
"7","7","O.J. Mayo","28","41","24","1090","119","321",".371","52","162",".321","67","159",".421",".452","31","40",".775","13","92","105","118","48","8","72","126","321"
"8","8","Rashad Vaughn","19","70","6","1001","81","266",".305","43","147",".293","38","119",".319",".385","12","15",".800","11","77","88","39","29","16","28","73","217"
"9","9","John Henson","25","57","1","960","164","291",".564","0","1",".000","164","290",".566",".564","69","117",".590","87","134","221","54","18","109","64","131","397"
"10","10","Miles Plumlee","27","61","14","870","140","233",".601","0","0","","140","233",".601",".601","34","59",".576","94","138","232","16","21","50","40","73","314"
"11","11","Johnny O'Bryant","22","66","4","857","86","209",".411","1","1","1.000","85","208",".409",".414","27","40",".675","65","111","176","32","18","8","31","100","200"
"12","12","Tyler Ennis","21","46","7","654","84","187",".449","13","39",".333","71","148",".480",".484","25","34",".735","13","62","75","95","25","1","46","64","206"
"13","13","Greivis Vasquez","29","23","0","460","45","138",".326","18","73",".247","27","65",".415",".391","22","26",".846","5","42","47","91","10","0","40","42","130"
"14","14","Chris Copeland","31","24","1","156","17","51",".333","10","36",".278","7","15",".467",".431","6","7",".857","1","9","10","11","2","0","6","17","50"
"15","15","Damien Inglis","20","20","1","156","13","37",".351","3","13",".231","10","24",".417",".392","7","8",".875","2","29","31","10","6","3","11","11","36"
"16","16","Jared Cunningham","24","4","0","55","4","14",".286","2","7",".286","2","7",".286",".357","6","7",".857","0","9","9","1","2","0","3","4","16"
"17","17","Steve Novak","32","3","0","20","2","6",".333","2","6",".333","0","0","",".500","1","1","1.000","0","1","1","0","0","0","0","2","7"
