"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Andrew Wiggins","20","81","81","2845","594","1294",".459","57","190",".300","537","1104",".486",".481","430","565",".761","106","186","292","164","78","46","182","165","1675"
"2","2","Karl-Anthony Towns","20","82","82","2627","625","1153",".542","30","88",".341","595","1065",".559",".555","223","275",".811","228","629","857","161","58","138","183","245","1503"
"3","3","Ricky Rubio","25","76","76","2323","219","586",".374","62","190",".326","157","396",".396",".427","266","314",".847","40","286","326","658","162","10","193","201","766"
"4","4","Zach LaVine","20","82","33","2294","433","959",".452","123","316",".389","310","643",".482",".516","161","203",".793","27","201","228","251","69","17","155","193","1150"
"5","5","Gorgui Dieng","26","82","39","2220","308","579",".532","6","20",".300","302","559",".540",".537","205","248",".827","157","428","585","143","94","96","140","219","827"
"6","6","Shabazz Muhammad","23","82","0","1682","317","681",".465","44","152",".289","273","529",".516",".498","185","242",".764","100","167","267","52","24","7","70","94","863"
"7","7","Tayshaun Prince","35","77","44","1462","102","229",".445","4","23",".174","98","206",".476",".454","13","19",".684","32","115","147","73","36","13","27","62","221"
"8","8","Nemanja Bjelica","27","60","0","1075","110","235",".468","48","125",".384","62","110",".564",".570","40","55",".727","49","161","210","83","26","21","47","154","308"
"9","9","Kevin Martin","32","39","12","834","126","334",".377","38","103",".369","88","231",".381",".434","125","142",".880","10","71","81","46","17","1","41","68","415"
"10","10","Tyus Jones","19","37","0","573","56","156",".359","16","53",".302","40","103",".388",".410","28","39",".718","7","40","47","108","31","3","33","33","156"
"11","11","Kevin Garnett","39","38","38","556","54","115",".470","0","1",".000","54","114",".474",".470","14","21",".667","15","135","150","62","28","10","16","70","122"
"12","12","Adreian Payne","24","52","2","486","53","145",".366","9","32",".281","44","113",".389",".397","17","26",".654","20","91","111","29","16","11","36","77","132"
"13","13","Andre Miller","39","26","0","280","36","58",".621","1","4",".250","35","54",".648",".629","15","19",".789","6","18","24","58","9","0","25","32","88"
"14","14","Damjan Rudez","29","33","0","277","25","62",".403","17","50",".340","8","12",".667",".540","8","8","1.000","5","15","20","11","3","1","13","33","75"
"15","15","Greg Smith","25","18","0","192","18","32",".563","0","0","","18","32",".563",".563","7","17",".412","12","30","42","6","4","1","7","28","43"
"16","16","Nikola Pekovic","30","12","3","156","19","50",".380","0","0","","19","50",".380",".380","16","20",".800","7","14","21","11","1","0","9","22","54"
