"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Anthony Davis","22","61","61","2164","560","1136",".493","35","108",".324","525","1028",".511",".508","326","430",".758","130","497","627","116","78","125","121","148","1481"
"2","2","Ryan Anderson","27","66","7","2008","397","929",".427","131","358",".366","266","571",".466",".498","199","228",".873","131","265","396","73","38","25","90","109","1124"
"3","3","Dante Cunningham","28","80","46","1971","186","412",".451","55","174",".316","131","238",".550",".518","57","82",".695","57","179","236","77","42","33","41","173","484"
"4","4","Jrue Holiday","25","65","23","1831","410","935",".439","87","259",".336","323","676",".478",".485","182","216",".843","27","168","195","391","88","22","167","148","1089"
"5","5","Alonzo Gee","28","73","38","1632","132","255",".518","17","60",".283","115","195",".590",".551","44","66",".667","60","185","245","72","63","13","55","169","325"
"6","6","Eric Gordon","27","45","44","1481","231","552",".418","113","294",".384","118","258",".457",".521","111","125",".888","10","89","99","121","43","14","73","98","686"
"7","7","Toney Douglas","29","61","18","1262","183","445",".411","81","203",".399","102","242",".421",".502","84","99",".848","25","118","143","157","70","5","64","131","531"
"8","8","Norris Cole","27","45","23","1198","196","484",".405","33","102",".324","163","382",".427",".439","52","65",".800","10","141","151","167","37","5","75","102","477"
"9","9","Omer Asik","29","68","64","1178","104","195",".533","0","0","","104","195",".533",".533","61","112",".545","120","294","414","26","21","23","60","124","269"
"10","10","Alexis Ajinca","27","59","17","861","150","315",".476","0","1",".000","150","314",".478",".476","52","62",".839","75","194","269","31","19","36","54","134","352"
"11","11","Luke Babbitt","26","47","13","845","122","289",".422","44","109",".404","78","180",".433",".498","39","50",".780","25","123","148","53","11","7","23","90","327"
"12","12","Tyreke Evans","26","25","25","765","136","314",".433","33","85",".388","103","229",".450",".486","74","93",".796","20","109","129","164","32","8","73","66","379"
"13","13","Ish Smith","27","27","3","617","98","228",".430","10","33",".303","88","195",".451",".452","33","43",".767","14","78","92","154","24","6","45","38","239"
"14","14","Kendrick Perkins","31","37","5","542","40","75",".533","0","0","","40","75",".533",".533","11","25",".440","25","103","128","31","11","11","41","64","91"
"15","15","Tim Frazier","25","16","1","469","76","169",".450","13","31",".419","63","138",".457",".488","45","59",".763","15","56","71","120","23","1","38","42","210"
"16","16","Jordan Hamilton","25","11","4","304","49","116",".422","13","45",".289","36","71",".507",".478","14","21",".667","12","50","62","25","8","3","17","24","125"
"17","17","James Ennis","25","9","5","282","50","100",".500","24","50",".480","26","50",".520",".620","19","24",".792","17","18","35","18","12","3","17","26","143"
"18","18","Bryce Dejean-Jones","23","14","11","279","28","69",".406","12","32",".375","16","37",".432",".493","11","21",".524","8","40","48","15","10","2","11","17","79"
"19","19","Orlando Johnson","26","5","1","54","4","17",".235","1","5",".200","3","12",".250",".265","1","2",".500","1","5","6","2","1","0","3","4","10"
"20","20","Nate Robinson","31","2","1","23","0","1",".000","0","1",".000","0","0","",".000","0","0","","0","0","0","4","1","0","0","5","0"
"21","21","Jimmer Fredette","26","4","0","13","1","4",".250","0","1",".000","1","3",".333",".250","0","0","","0","0","0","1","1","0","1","1","2"
