"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Russell Westbrook","27","80","80","2750","656","1444",".454","101","341",".296","555","1103",".503",".489","465","573",".812","145","481","626","834","163","20","342","200","1878"
"2","2","Kevin Durant","27","72","72","2578","698","1381",".505","186","481",".387","512","900",".569",".573","447","498",".898","45","544","589","361","69","85","250","137","2029"
"3","3","Serge Ibaka","26","78","78","2500","416","869",".479","60","184",".326","356","685",".520",".513","91","121",".752","141","392","533","66","38","148","108","211","983"
"4","4","Dion Waiters","24","78","15","2152","282","706",".399","86","240",".358","196","466",".421",".460","112","157",".713","36","166","202","154","81","15","120","143","762"
"5","5","Steven Adams","22","80","80","2014","261","426",".613","0","0","","261","426",".613",".613","114","196",".582","219","314","533","62","42","89","84","223","636"
"6","6","Enes Kanter","23","82","1","1721","414","719",".576","10","21",".476","404","698",".579",".583","200","251",".797","249","415","664","33","26","33","115","166","1038"
"7","7","Andre Roberson","24","70","70","1553","136","274",".496","32","103",".311","104","171",".608",".555","33","54",".611","79","172","251","47","53","42","35","133","337"
"8","8","Kyle Singler","27","68","2","977","86","221",".389","30","97",".309","56","124",".452",".457","29","44",".659","50","91","141","24","30","9","32","120","231"
"9","9","Anthony Morrow","30","68","6","926","136","333",".408","79","204",".387","57","129",".442",".527","29","39",".744","10","52","62","24","22","5","17","64","380"
"10","10","Nick Collison","35","59","4","699","50","109",".459","0","2",".000","50","107",".467",".459","23","33",".697","68","103","171","52","15","16","50","107","123"
"11","11","Cameron Payne","21","57","1","698","114","278",".410","36","111",".324","78","167",".467",".475","19","24",".792","9","76","85","108","36","6","44","80","283"
"12","12","Randy Foye","32","27","1","572","52","149",".349","25","81",".309","27","68",".397",".433","22","27",".815","8","43","51","49","13","13","28","48","151"
"13","13","D.J. Augustin","28","34","0","519","46","121",".380","24","61",".393","22","60",".367",".479","26","34",".765","5","38","43","66","13","2","30","41","142"
"14","14","Mitch McGary","23","20","0","72","11","23",".478","0","4",".000","11","19",".579",".478","4","10",".400","4","14","18","3","1","2","7","10","26"
"15","15","Josh Huestis","24","5","0","55","5","12",".417","4","6",".667","1","6",".167",".583","0","4",".000","2","8","10","0","1","2","3","3","14"
"16","16","Steve Novak","32","7","0","24","6","12",".500","5","9",".556","1","3",".333",".708","0","0","","0","4","4","0","0","0","1","1","17"
"17","17","Nazr Mohammed","38","5","0","19","3","5",".600","0","0","","3","5",".600",".600","2","2","1.000","1","3","4","0","0","0","3","4","8"
