"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Evan Fournier","23","79","71","2566","429","929",".462","156","390",".400","273","539",".506",".546","199","238",".836","33","192","225","213","96","2","133","214","1213"
"2","2","Victor Oladipo","23","72","52","2379","425","970",".438","98","282",".348","327","688",".475",".489","205","247",".830","48","297","345","282","116","54","153","174","1153"
"3","3","Elfrid Payton","21","73","69","2145","318","730",".436","30","92",".326","288","638",".451",".456","112","190",".589","77","184","261","468","89","20","177","159","778"
"4","4","Nikola Vucevic","25","65","60","2037","533","1046",".510","2","9",".222","531","1037",".512",".511","113","150",".753","174","402","576","179","53","70","123","173","1181"
"5","5","Aaron Gordon","20","78","37","1863","274","579",".473","42","142",".296","232","437",".531",".509","129","193",".668","154","353","507","128","59","55","66","153","719"
"6","6","Tobias Harris","23","49","49","1610","251","541",".464","47","151",".311","204","390",".523",".507","120","153",".784","71","271","342","99","47","28","78","91","669"
"7","7","Mario Hezonja","20","79","9","1413","181","418",".433","67","192",".349","114","226",".504",".513","49","54",".907","28","148","176","109","39","17","97","124","478"
"8","8","Jason Smith","29","76","2","1181","244","503",".485","4","16",".250","240","487",".493",".489","54","67",".806","53","166","219","62","33","65","57","163","546"
"9","9","Andrew Nicholson","26","56","0","823","146","310",".471","41","114",".360","105","196",".536",".537","51","65",".785","34","167","201","25","10","22","41","69","384"
"10","10","Channing Frye","32","44","29","754","81","186",".435","48","121",".397","33","65",".508",".565","19","21",".905","23","118","141","45","21","20","30","71","229"
"11","11","Dewayne Dedmon","26","58","20","705","99","177",".559","0","0","","99","177",".559",".559","57","76",".750","67","161","228","13","22","46","32","109","255"
"12","12","C.J. Watson","31","33","2","656","47","137",".343","14","48",".292","33","89",".371",".394","34","39",".872","10","56","66","88","19","5","25","49","142"
"13","13","Shabazz Napier","24","55","0","600","68","201",".338","34","104",".327","34","97",".351",".423","33","45",".733","9","46","55","97","23","1","46","38","203"
"14","14","Brandon Jennings","26","25","6","452","59","161",".366","27","78",".346","32","83",".386",".450","30","40",".750","11","39","50","100","18","5","35","33","175"
"15","15","Ersan Ilyasova","28","22","4","447","64","153",".418","18","44",".409","46","109",".422",".477","32","45",".711","45","76","121","12","14","6","12","51","178"
"16","16","Devyn Marble","23","28","0","249","21","71",".296","8","32",".250","13","39",".333",".352","10","24",".417","6","32","38","12","13","1","7","25","60"
"17","17","Keith Appling","23","5","0","27","2","8",".250","0","3",".000","2","5",".400",".250","2","2","1.000","0","1","1","1","1","0","3","5","6"
