"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Hollis Thompson","24","77","17","2154","270","680",".397","149","392",".380","121","288",".420",".507","69","96",".719","54","218","272","99","36","24","76","187","758"
"2","2","Jerami Grant","21","77","52","2066","251","599",".419","35","146",".240","216","453",".477",".448","212","322",".658","99","262","361","135","54","127","110","215","749"
"3","3","Isaiah Canaan","24","77","39","1966","260","722",".360","176","485",".363","84","237",".354",".482","150","180",".833","20","154","174","137","56","12","91","133","846"
"4","4","Nerlens Noel","21","67","62","1965","306","587",".521","1","2",".500","305","585",".521",".522","134","227",".590","154","388","542","122","118","100","158","192","747"
"5","5","Robert Covington","25","67","49","1903","274","712",".385","170","482",".353","104","230",".452",".504","140","177",".791","65","354","419","97","105","40","143","232","858"
"6","6","Nik Stauskas","22","73","35","1809","210","545",".385","106","325",".326","104","220",".473",".483","91","118",".771","23","160","183","138","44","20","94","115","617"
"7","7","Ish Smith","27","50","50","1622","299","739",".405","46","137",".336","253","602",".420",".436","89","133",".669","29","184","213","348","64","18","130","95","733"
"8","8","T.J. McConnell","23","81","17","1606","218","464",".470","31","89",".348","187","375",".499",".503","26","41",".634","43","207","250","367","95","10","140","114","493"
"9","9","Jahlil Okafor","20","53","48","1591","397","781",".508","1","6",".167","396","775",".511",".509","133","194",".686","122","251","373","65","22","61","124","140","928"
"10","10","Richaun Holmes","22","51","1","702","114","222",".514","8","44",".182","106","178",".596",".532","51","74",".689","62","73","135","33","19","40","32","92","287"
"11","11","JaKarr Sampson","22","47","18","691","86","202",".426","6","34",".176","80","168",".476",".441","62","97",".639","30","99","129","30","11","16","51","91","240"
"12","12","Carl Landry","32","36","12","569","139","250",".556","6","13",".462","133","237",".561",".568","67","91",".736","49","97","146","32","12","9","22","69","351"
"13","13","Kendall Marshall","24","30","6","400","43","118",".364","16","49",".327","27","69",".391",".432","9","13",".692","2","26","28","73","16","2","43","30","111"
"14","14","Elton Brand","36","17","1","225","31","72",".431","0","1",".000","31","71",".437",".431","8","9",".889","9","54","63","18","9","8","11","32","70"
"15","15","Phil Pressey","24","14","0","170","21","55",".382","4","13",".308","17","42",".405",".418","9","18",".500","0","23","23","46","11","1","19","14","55"
"16","16","Christian Wood","20","17","0","145","22","53",".415","4","11",".364","18","42",".429",".453","13","21",".619","13","25","38","3","5","7","2","11","61"
"17","17","Tony Wroten","22","8","3","144","22","65",".338","3","17",".176","19","48",".396",".362","20","37",".541","2","19","21","20","3","0","29","11","67"
"18","18","Sonny Weems","29","7","0","78","7","21",".333","2","9",".222","5","12",".417",".381","1","2",".500","1","11","12","2","0","0","4","7","17"
