"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","P.J. Tucker","30","82","80","2540","239","582",".411","68","206",".330","171","376",".455",".469","106","142",".746","165","347","512","177","106","20","111","202","652"
"2","2","Devin Booker","19","76","51","2108","367","867",".423","99","289",".343","268","578",".464",".480","215","256",".840","27","160","187","200","44","20","160","225","1048"
"3","3","Brandon Knight","24","52","50","1870","371","895",".415","120","351",".342","251","544",".461",".482","156","183",".852","36","166","202","263","61","20","177","124","1018"
"4","4","Alex Len","22","78","46","1821","264","624",".423","1","7",".143","263","617",".426",".424","174","239",".728","178","416","594","97","38","62","145","230","703"
"5","5","Mirza Teletovic","30","79","1","1686","332","777",".427","181","460",".393","151","317",".476",".544","120","155",".774","55","247","302","89","32","21","84","159","965"
"6","6","Tyson Chandler","33","66","60","1618","183","314",".583","0","1",".000","183","313",".585",".583","106","171",".620","175","401","576","64","36","44","93","145","472"
"7","7","Jon Leuer","26","67","27","1255","224","466",".481","42","110",".382","182","356",".511",".526","77","101",".762","76","297","373","72","38","30","75","125","567"
"8","8","Ronnie Price","32","62","18","1211","116","302",".384","68","196",".347","48","106",".453",".497","31","41",".756","25","74","99","147","74","13","70","161","331"
"9","9","Archie Goodwin","21","57","13","1114","176","422",".417","23","99",".232","153","323",".474",".444","130","193",".674","27","115","142","118","27","13","100","84","505"
"10","10","T.J. Warren","22","47","4","1070","221","441",".501","28","70",".400","193","371",".520",".533","45","64",".703","57","90","147","44","37","16","32","94","515"
"11","11","Eric Bledsoe","26","31","31","1059","223","492",".453","48","129",".372","175","363",".482",".502","138","172",".802","18","107","125","190","63","19","110","75","632"
"12","12","Markieff Morris","26","37","24","917","171","431",".397","22","76",".289","149","355",".420",".422","66","92",".717","43","151","194","87","33","17","90","104","430"
"13","13","Sonny Weems","29","36","0","421","35","89",".393","13","32",".406","22","57",".386",".466","7","13",".538","6","35","41","47","10","1","37","40","90"
"14","14","John Jenkins","24","22","2","287","42","90",".467","13","32",".406","29","58",".500",".539","12","15",".800","4","31","35","26","5","1","16","11","109"
"15","15","Chase Budinger","27","17","0","200","23","45",".511","4","17",".235","19","28",".679",".556","5","8",".625","12","17","29","15","3","1","13","16","55"
"16","16","Phil Pressey","24","9","0","113","9","23",".391","0","5",".000","9","18",".500",".391","4","7",".571","3","5","8","29","7","3","14","14","22"
"17","17","Jordan McRae","24","7","0","82","11","26",".423","3","11",".273","8","15",".533",".481","12","15",".800","2","6","8","10","3","0","6","7","37"
"18","18","Kris Humphries","30","4","3","74","10","36",".278","3","10",".300","7","26",".269",".319","6","8",".750","11","21","32","7","3","2","4","8","29"
"19","19","Alan Williams","23","10","0","68","10","24",".417","0","0","","10","24",".417",".417","9","14",".643","14","24","38","5","4","5","6","15","29"
"20","20","Lorenzo Brown","25","8","0","61","8","25",".320","1","8",".125","7","17",".412",".340","3","4",".750","0","7","7","11","3","1","9","4","20"
"21","21","Cory Jefferson","25","8","0","50","9","22",".409","0","1",".000","9","21",".429",".409","4","6",".667","6","10","16","0","0","1","0","8","22"
"22","22","Orlando Johnson","26","2","0","47","5","17",".294","1","5",".200","4","12",".333",".324","5","6",".833","3","6","9","0","2","3","1","5","16"
"23","23","Bryce Cotton","23","3","0","33","2","8",".250","0","3",".000","2","5",".400",".250","0","0","","0","0","0","3","3","0","5","2","4"
