"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","C.J. McCollum","24","80","80","2780","641","1431",".448","197","472",".417","444","959",".463",".517","187","226",".827","47","212","259","341","97","23","196","187","1666"
"2","2","Damian Lillard","25","75","75","2676","618","1474",".419","229","610",".375","389","864",".450",".497","414","464",".892","45","257","302","512","65","28","242","165","1879"
"3","3","Al-Farouq Aminu","25","82","82","2341","299","719",".416","126","349",".361","173","370",".468",".503","115","156",".737","98","401","499","138","72","53","120","171","839"
"4","4","Allen Crabbe","23","81","8","2105","311","678",".459","112","285",".393","199","393",".506",".541","98","113",".867","27","189","216","99","63","16","64","192","832"
"5","5","Mason Plumlee","25","82","82","2084","267","517",".516","0","4",".000","267","513",".520",".516","215","335",".642","201","427","628","226","68","85","154","253","749"
"6","6","Ed Davis","26","81","0","1684","206","337",".611","0","0","","206","337",".611",".611","114","204",".559","224","375","599","88","57","72","64","202","526"
"7","7","Maurice Harkless","22","78","14","1457","195","411",".474","39","140",".279","156","271",".576",".522","69","111",".622","101","179","280","67","49","35","62","124","498"
"8","8","Gerald Henderson","28","72","0","1431","232","529",".439","48","136",".353","184","393",".468",".484","112","146",".767","30","181","211","75","39","19","68","87","624"
"9","9","Meyers Leonard","23","61","10","1333","195","435",".448","86","228",".377","109","207",".527",".547","35","46",".761","51","263","314","92","8","18","77","183","511"
"10","10","Noah Vonleh","20","78","56","1174","117","278",".421","11","46",".239","106","232",".457",".441","38","51",".745","91","214","305","30","27","26","50","152","283"
"11","11","Tim Frazier","25","35","1","272","20","60",".333","3","17",".176","17","43",".395",".358","8","15",".533","11","28","39","42","10","1","27","31","51"
"12","12","Pat Connaughton","23","34","0","143","13","49",".265","5","21",".238","8","28",".286",".316","5","5","1.000","11","21","32","10","2","0","10","6","36"
"13","13","Brian Roberts","30","21","0","137","23","50",".460","6","15",".400","17","35",".486",".520","8","10",".800","2","10","12","16","3","1","7","12","60"
"14","14","Chris Kaman","33","16","2","112","20","43",".465","1","4",".250","19","39",".487",".477","3","3","1.000","7","17","24","11","1","1","8","15","44"
"15","15","Luis Montero","22","12","0","42","5","19",".263","1","9",".111","4","10",".400",".289","3","4",".750","0","4","4","1","0","0","4","1","14"
"16","16","Cliff Alexander","20","8","0","36","5","10",".500","0","0","","5","10",".500",".500","0","0","","2","4","6","0","1","2","1","1","10"
