"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Kawhi Leonard","24","72","72","2380","551","1090",".506","129","291",".443","422","799",".528",".565","292","334",".874","95","398","493","186","128","71","105","133","1523"
"2","2","LaMarcus Aldridge","30","74","74","2261","536","1045",".513","0","16",".000","536","1029",".521",".513","259","302",".858","176","456","632","110","38","81","99","151","1331"
"3","3","Danny Green","28","79","79","2062","211","561",".376","116","349",".332","95","212",".448",".480","34","46",".739","48","255","303","141","79","64","75","141","572"
"4","4","Tony Parker","33","72","72","1980","350","710",".493","27","65",".415","323","645",".501",".512","130","171",".760","17","159","176","379","54","11","131","114","857"
"5","5","Patrick Mills","27","81","3","1662","260","612",".425","123","320",".384","137","292",".469",".525","47","58",".810","27","131","158","226","59","6","76","102","690"
"6","6","Tim Duncan","39","61","60","1536","215","441",".488","0","2",".000","215","439",".490",".488","92","131",".702","115","332","447","163","47","78","90","125","522"
"7","7","David West","35","78","19","1404","244","448",".545","3","7",".429","241","441",".546",".548","63","80",".788","72","237","309","143","44","55","68","142","554"
"8","8","Boris Diaw","33","76","4","1386","202","383",".527","25","69",".362","177","314",".564",".560","56","76",".737","58","175","233","176","26","21","97","102","485"
"9","9","Kyle Anderson","22","78","11","1245","138","295",".468","12","37",".324","126","258",".488",".488","62","83",".747","25","219","244","123","60","29","59","97","350"
"10","10","Manu Ginobili","38","58","0","1134","197","435",".453","70","179",".391","127","256",".496",".533","91","112",".813","26","120","146","177","66","11","99","99","555"
"11","11","Jonathon Simmons","26","55","2","813","122","242",".504","18","47",".383","104","195",".533",".541","69","92",".750","16","80","96","58","24","5","53","103","331"
"12","12","Boban Marjanovic","27","54","4","508","105","174",".603","0","0","","105","174",".603",".603","87","114",".763","73","121","194","21","12","23","29","54","297"
"13","13","Rasual Butler","36","46","0","432","49","104",".471","15","49",".306","34","55",".618",".543","11","16",".688","3","53","56","24","13","23","8","11","124"
"14","14","Kevin Martin","32","16","1","261","30","85",".353","11","33",".333","19","52",".365",".418","28","30",".933","4","25","29","12","9","2","13","15","99"
"15","15","Ray McCallum","24","31","3","256","27","67",".403","5","16",".313","22","51",".431",".440","9","10",".900","6","25","31","33","5","4","11","14","68"
"16","16","Matt Bonner","35","30","2","206","29","57",".509","15","34",".441","14","23",".609",".640","3","4",".750","3","24","27","9","6","1","3","16","76"
"17","17","Andre Miller","39","13","4","181","23","48",".479","1","4",".250","22","44",".500",".490","9","13",".692","6","21","27","29","7","0","12","14","56"
