"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Kyle Lowry","29","77","77","2851","512","1198",".427","212","547",".388","300","651",".461",".516","398","491",".811","55","310","365","494","158","34","225","211","1634"
"2","2","DeMar DeRozan","26","78","78","2804","614","1377",".446","47","139",".338","567","1238",".458",".463","555","653",".850","64","285","349","315","81","21","175","167","1830"
"3","3","Cory Joseph","24","80","4","2046","257","585",".439","30","110",".273","227","475",".478",".465","133","174",".764","39","171","210","250","63","20","102","131","677"
"4","4","Patrick Patterson","26","79","0","2020","204","493",".414","106","293",".362","98","200",".490",".521","29","34",".853","77","265","342","94","53","32","65","128","543"
"5","5","Bismack Biyombo","23","82","22","1808","156","288",".542","0","1",".000","156","287",".544",".542","142","226",".628","182","473","655","29","19","133","71","225","454"
"6","6","Terrence Ross","24","73","7","1747","270","626",".431","131","339",".386","139","287",".484",".536","49","62",".790","21","164","185","56","54","25","46","120","720"
"7","7","Luis Scola","35","76","76","1636","269","598",".450","65","161",".404","204","437",".467",".504","61","84",".726","84","276","360","66","46","27","68","178","664"
"8","8","Jonas Valanciunas","23","60","59","1557","303","536",".565","0","0","","303","536",".565",".565","162","213",".761","184","363","547","42","25","80","85","158","768"
"9","9","James Johnson","28","57","32","926","114","240",".475","20","66",".303","94","174",".540",".517","39","68",".574","28","98","126","67","29","33","54","84","287"
"10","10","DeMarre Carroll","29","26","22","786","105","270",".389","46","118",".390","59","152",".388",".474","30","50",".600","31","91","122","27","44","6","28","63","286"
"11","11","Norman Powell","22","49","24","725","97","229",".424","36","89",".404","61","140",".436",".502","43","53",".811","16","95","111","47","29","10","32","59","273"
"12","12","Jason Thompson","29","19","6","292","32","66",".485","5","15",".333","27","51",".529",".523","18","22",".818","22","58","80","10","8","12","8","40","87"
"13","13","Delon Wright","23","27","1","229","36","80",".450","5","13",".385","31","67",".463",".481","26","35",".743","8","29","37","31","8","3","16","7","103"
"14","14","Lucas Nogueira","23","29","1","225","28","44",".636","1","3",".333","27","41",".659",".648","8","15",".533","18","28","46","7","12","12","11","29","65"
"15","15","Anthony Bennett","22","19","0","84","8","27",".296","3","14",".214","5","13",".385",".352","9","10",".900","6","17","23","0","5","0","4","8","28"
"16","16","Bruno Caboclo","20","6","1","43","1","12",".083","1","7",".143","0","5",".000",".125","0","0","","1","1","2","1","2","1","4","2","3"
