"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Gordon Hayward","25","80","80","2893","521","1202",".433","143","410",".349","378","792",".477",".493","393","477",".824","61","336","397","296","95","27","202","183","1578"
"2","2","Rodney Hood","23","79","79","2541","408","972",".420","161","449",".359","247","523",".472",".503","172","200",".860","38","229","267","213","73","16","125","202","1149"
"3","3","Derrick Favors","24","62","59","1983","418","811",".515","0","4",".000","418","807",".518",".515","180","254",".709","169","334","503","94","74","91","104","150","1016"
"4","4","Rudy Gobert","23","61","60","1932","198","354",".559","0","0","","198","354",".559",".559","161","283",".569","208","460","668","91","45","135","114","163","557"
"5","5","Trevor Booker","28","79","2","1632","190","388",".490","12","41",".293","178","347",".513",".505","71","106",".670","166","286","452","84","59","41","81","169","463"
"6","6","Raul Neto","23","81","53","1499","180","418",".431","64","162",".395","116","256",".453",".507","52","70",".743","17","103","120","174","62","2","109","122","476"
"7","7","Trey Lyles","20","80","33","1382","191","436",".438","49","128",".383","142","308",".461",".494","57","82",".695","59","240","299","59","26","18","65","114","488"
"8","8","Trey Burke","23","64","0","1366","262","634",".413","88","256",".344","174","378",".460",".483","67","82",".817","18","94","112","148","35","6","80","86","679"
"9","9","Joe Ingles","28","81","2","1241","124","291",".426","81","210",".386","43","81",".531",".565","13","18",".722","19","132","151","96","55","4","65","98","342"
"10","10","Shelvin Mack","25","28","27","879","142","320",".444","35","98",".357","107","222",".482",".498","36","49",".735","11","95","106","149","26","3","81","65","355"
"11","11","Chris Johnson","25","70","2","857","72","194",".371","27","99",".273","45","95",".474",".441","34","42",".810","27","105","132","45","32","20","40","100","205"
"12","12","Alec Burks","24","31","3","797","137","334",".410","32","79",".405","105","255",".412",".458","106","141",".752","16","93","109","63","18","4","51","71","412"
"13","13","Jeff Withey","25","51","10","658","87","162",".537","0","2",".000","87","160",".544",".537","43","59",".729","56","117","173","20","21","53","28","75","217"
"14","14","Elijah Millsap","28","20","0","173","11","39",".282","1","12",".083","10","27",".370",".295","13","18",".722","6","29","35","19","7","3","9","33","36"
"15","15","Tibor Pleiss","26","12","0","82","11","25",".440","0","2",".000","11","23",".478",".440","2","2","1.000","6","9","15","2","1","2","8","19","24"
"16","16","Erick Green","24","6","0","35","5","12",".417","1","4",".250","4","8",".500",".458","2","2","1.000","3","2","5","2","1","0","0","4","13"
"17","17","J.J. O'Brien","23","2","0","6","0","1",".000","0","0","","0","1",".000",".000","0","0","","0","1","1","0","1","0","0","1","0"
