"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","John Wall","25","77","77","2784","572","1349",".424","115","328",".351","457","1021",".448",".467","272","344",".791","42","337","379","789","145","59","318","159","1531"
"2","2","Otto Porter","22","75","73","2276","339","717",".473","98","267",".367","241","450",".536",".541","95","126",".754","97","294","391","120","105","32","70","163","871"
"3","3","Marcin Gortat","31","75","74","2256","433","764",".567","0","1",".000","433","763",".567",".567","146","207",".705","222","519","741","106","47","96","121","193","1012"
"4","4","Jared Dudley","30","81","41","2098","233","487",".478","100","238",".420","133","249",".534",".581","72","98",".735","54","232","286","170","75","18","80","190","638"
"5","5","Garrett Temple","29","80","43","1951","201","505",".398","89","258",".345","112","247",".453",".486","91","125",".728","36","176","212","140","69","18","64","195","582"
"6","6","Bradley Beal","22","55","35","1708","359","799",".449","105","271",".387","254","528",".481",".515","135","176",".767","41","147","188","162","54","11","112","117","958"
"7","7","Ramon Sessions","29","82","5","1667","280","592",".473","36","111",".324","244","481",".507",".503","214","283",".756","25","178","203","239","46","5","115","102","810"
"8","8","Nene Hilario","33","57","11","1094","209","384",".544","0","3",".000","209","381",".549",".544","107","185",".578","52","207","259","97","54","26","76","156","525"
"9","9","Gary Neal","31","40","2","807","151","325",".465","41","100",".410","110","225",".489",".528","47","55",".855","11","72","83","47","20","1","29","55","390"
"10","10","Markieff Morris","26","27","21","712","134","287",".467","25","79",".316","109","208",".524",".510","42","55",".764","30","128","158","37","25","17","45","80","335"
"11","11","Kelly Oubre","20","63","9","671","90","211",".427","25","79",".316","65","132",".492",".486","31","49",".633","25","108","133","13","22","7","34","100","236"
"12","12","Kris Humphries","30","28","14","466","64","158",".405","23","67",".343","41","91",".451",".478","29","31",".935","26","89","115","16","3","14","20","42","180"
"13","13","Drew Gooden","34","30","0","305","33","103",".320","7","41",".171","26","62",".419",".354","9","14",".643","28","57","85","13","8","11","13","40","82"
"14","14","Marcus Thornton","28","14","2","224","42","107",".393","18","54",".333","24","53",".453",".477","16","21",".762","7","28","35","19","13","1","11","17","118"
"15","15","DeJuan Blair","26","29","0","218","28","68",".412","0","1",".000","28","67",".418",".412","5","13",".385","20","37","57","11","8","2","15","53","61"
"16","16","Alan Anderson","33","13","0","192","21","59",".356","12","37",".324","9","22",".409",".458","11","15",".733","1","26","27","14","4","1","2","25","65"
"17","17","Jarell Eddie","24","26","0","147","20","65",".308","15","47",".319","5","18",".278",".423","8","8","1.000","2","21","23","5","5","1","1","5","63"
"18","18","J.J. Hickson","27","15","0","131","25","46",".543","0","1",".000","25","45",".556",".543","19","44",".432","17","28","45","7","5","2","9","12","69"
"19","19","Ryan Hollins","31","5","3","48","4","7",".571","0","0","","4","7",".571",".571","0","0","","7","4","11","0","0","1","3","4","8"
